pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
871.183478,77.713345,852.409151,109.163109,935.107703,207.024331,908.586591,353.409380,966.473362,439.241175
871.000000,78.000000,852.000000,109.000000,935.000000,207.000000,909.000000,353.000000,966.473362,439.241175
871.000000,78.000000,852.000000,109.000000,935.000000,207.000000,909.000000,353.000000,966.473362,439.241175
871.000000,78.000000,852.000000,109.000000,935.000000,207.000000,909.000000,353.000000,966.473362,439.241175
871.000000,78.000000,852.000000,109.000000,935.000000,207.000000,909.000000,353.000000,966.580316,439.556701
868.320000,78.000000,849.820000,109.250000,933.370000,206.920000,908.810000,353.000000,966.580316,439.556701
865.650000,78.020000,847.380000,109.490000,931.930000,206.760000,908.750000,352.990000,966.687270,439.619806
862.870000,78.090000,844.740000,109.960000,929.960000,206.570000,908.600000,352.990000,966.473362,439.746016
859.940000,78.180000,841.960000,110.280000,928.070000,205.910000,908.320000,352.900000,967.115087,439.935331
857.170000,78.220000,839.190000,110.790000,926.230000,205.770000,908.080000,352.890000,967.435949,439.872226
854.370000,78.250000,836.520000,111.040000,924.320000,205.190000,907.970000,352.830000,967.970720,440.377067
851.750000,78.270000,834.150000,111.300000,922.630000,205.040000,907.860000,352.770000,968.291582,441.891589
848.870000,78.300000,831.940000,111.900000,921.030000,204.910000,907.760000,352.660000,968.612444,441.323644
846.000000,78.380000,829.760000,112.150000,919.190000,204.890000,907.650000,352.540000,969.468077,441.323644
843.160000,78.480000,827.470000,112.550000,917.370000,204.710000,907.550000,352.250000,969.788940,441.891589
840.390000,78.550000,824.830000,113.070000,915.800000,204.730000,907.250000,352.160000,970.216756,442.459535
837.580000,78.540000,822.050000,113.640000,913.930000,204.610000,907.180000,352.070000,971.179343,443.027481
834.700000,78.680000,819.090000,113.710000,912.000000,204.390000,907.110000,351.990000,971.179343,443.847848
831.920000,78.730000,816.110000,113.640000,910.110000,204.040000,907.040000,351.900000,972.676700,444.478899
829.050000,78.850000,813.270000,113.890000,908.230000,203.990000,907.010000,351.760000,972.890609,444.668214
826.080000,78.880000,810.520000,114.250000,906.270000,203.970000,906.980000,351.600000,973.425379,445.236160
823.300000,79.040000,808.260000,114.710000,904.440000,203.980000,906.960000,351.250000,973.746241,445.804106
820.450000,79.200000,806.040000,115.140000,902.830000,204.010000,906.830000,351.130000,973.746241,447.192418
817.750000,79.250000,803.910000,115.460000,900.780000,203.900000,906.850000,350.950000,973.853196,447.255523
814.890000,79.250000,801.840000,115.940000,898.710000,203.910000,906.850000,350.900000,975.029691,447.255523
811.920000,79.470000,803.241971,119.310724,896.670000,204.060000,906.840000,350.620000,975.457507,447.823469
809.110000,79.430000,800.910000,119.920000,894.800000,204.060000,906.850000,350.350000,976.740956,448.138994
806.240000,79.560000,798.660000,120.360000,892.730000,204.220000,906.900000,350.190000,976.420094,448.706940
803.290000,79.660000,796.170000,120.700000,890.780000,204.240000,906.950000,350.050000,976.954865,448.833150
800.460000,79.770000,793.990000,120.910000,888.750000,204.630000,906.990000,349.900000,977.810497,449.527306
797.720000,79.960000,791.920000,121.090000,886.910000,205.060000,907.020000,349.740000,978.986993,449.779727
794.900000,80.010000,789.820000,121.320000,884.870000,205.260000,907.130000,349.530000,979.200901,449.779727
791.940000,80.210000,787.860000,122.130000,882.900000,205.770000,907.170000,349.100000,979.093947,450.095252
789.130000,80.470000,785.930000,122.920000,881.030000,206.080000,907.400000,348.950000,979.735671,450.726303
786.220000,80.690000,784.040000,123.690000,879.030000,206.450000,907.580000,348.880000,980.698258,450.915619
783.410000,80.910000,782.030000,123.980000,877.170000,207.090000,907.800000,348.640000,980.805212,451.420459
780.660000,81.120000,779.930000,124.210000,875.060000,207.800000,907.990000,348.240000,981.233029,451.862195
777.790000,81.460000,777.830000,124.430000,873.170000,208.420000,908.140000,348.110000,982.195616,452.556351
774.860000,81.750000,776.080000,125.180000,870.870000,209.480000,908.290000,347.980000,982.837340,452.808771
771.990000,82.130000,774.260000,125.920000,869.360000,209.940000,908.580000,347.840000,982.837340,452.934982
769.020000,82.580000,772.480000,126.750000,868.345171,210.232288,908.890000,347.630000,983.692973,453.818453
766.180000,82.980000,771.140000,127.630000,866.310000,210.730000,909.080000,347.230000,983.906882,454.070873
763.290000,83.470000,769.760000,128.230000,864.100000,211.260000,909.320000,347.120000,984.655560,454.575714
760.520000,84.120000,767.960000,129.020000,862.080000,212.040000,909.770000,347.010000,984.655560,454.638819
757.680000,84.680000,766.190000,129.850000,860.150000,213.200000,910.070000,346.830000,985.297285,454.954345
754.950000,85.560000,764.270000,130.600000,858.510000,214.160000,910.310000,346.680000,985.550785,456.127897
752.060000,86.260000,762.540000,131.230000,856.990000,215.170000,910.760000,346.520000,986.440000,456.190000
749.410000,87.240000,761.120000,132.190000,855.100000,215.930000,911.040000,346.250000,986.930000,456.390000
746.830000,88.020000,759.800000,133.140000,853.250000,217.110000,911.310000,346.160000,987.470000,456.640000
744.230000,89.280000,758.100000,134.170000,851.250000,218.120000,911.740000,346.020000,987.930000,456.980000
741.760000,90.360000,756.420000,135.210000,849.500000,219.070000,911.990000,345.880000,988.200000,457.170000
739.250000,91.570000,755.050000,136.150000,848.220000,220.330000,912.320000,345.690000,988.760000,457.360000
736.950000,92.770000,753.730000,137.300000,846.900000,221.480000,912.840000,345.620000,989.100000,457.790000
734.690000,94.090000,752.000000,138.430000,845.640000,222.600000,913.100000,345.520000,989.480000,457.930000
732.320000,95.600000,750.420000,140.040000,843.940000,223.750000,913.400000,345.230000,989.960000,458.060000
730.220000,97.020000,749.360000,141.760000,842.140000,224.960000,913.890000,345.100000,990.300000,458.160000
728.210000,98.590000,748.110000,142.920000,840.590000,226.250000,914.160000,344.980000,990.790000,458.270000
726.360000,100.010000,746.980000,144.050000,839.260000,227.430000,914.400000,344.930000,991.120000,458.380000
724.540000,101.440000,745.710000,145.160000,838.240000,228.300000,914.860000,344.860000,991.450000,458.650000
722.870000,102.940000,743.930000,146.380000,837.090000,229.670000,915.080000,344.810000,991.860000,458.860000
721.020000,104.410000,742.240000,148.080000,836.170000,230.650000,915.290000,344.620000,992.170000,458.950000
719.150000,106.120000,741.030000,149.730000,835.280000,231.500000,915.740000,344.350000,992.370000,459.000000
717.230000,107.720000,739.840000,151.030000,834.650000,232.280000,915.990000,344.270000,992.680000,459.130000
715.750000,109.460000,738.480000,152.370000,834.120000,233.030000,916.180000,344.200000,992.910000,459.140000
714.110000,111.200000,736.920000,154.200000,833.840000,233.890000,916.360000,344.150000,993.170000,459.150000
712.570000,112.970000,735.230000,156.030000,833.470000,234.840000,916.800000,344.080000,993.370000,459.180000
711.140000,114.710000,734.020000,157.840000,832.740000,235.650000,917.010000,344.020000,993.670000,459.210000
709.810000,116.520000,732.760000,159.620000,832.010000,236.270000,917.210000,343.970000,993.870000,459.230000
708.240000,118.300000,730.960000,161.000000,831.240000,237.170000,917.430000,343.910000,994.070000,459.250000
706.900000,120.160000,729.130000,162.570000,830.660000,237.920000,917.770000,343.870000,994.200000,459.250000
705.490000,122.020000,727.420000,164.440000,830.340000,238.730000,917.910000,343.840000,994.320000,459.250000
703.930000,123.860000,726.100000,166.310000,830.070000,239.330000,918.080000,343.830000,994.500000,459.250000
702.320000,125.800000,724.800000,168.180000,829.850000,240.030000,918.270000,343.820000,994.720000,459.260000
702.280000,125.820000,724.257794,167.707789,829.870000,240.100000,918.270000,343.820000,994.710000,459.260000
700.820000,127.830000,722.330000,169.870000,829.630000,240.610000,918.440000,343.740000,994.870000,459.210000
699.130000,129.800000,720.850000,172.020000,828.870000,241.420000,918.800000,343.650000,995.030000,459.160000
697.330000,131.800000,719.210000,174.000000,828.200000,242.120000,918.990000,343.650000,995.130000,459.060000
695.620000,134.030000,717.850000,175.910000,828.000000,242.780000,919.080000,343.620000,995.230000,458.940000
693.830000,136.200000,716.210000,177.900000,827.870000,243.200000,919.280000,343.630000,995.350000,458.800000
691.920000,138.460000,714.940000,180.020000,827.700000,243.850000,919.410000,343.680000,995.440000,458.740000
690.010000,140.710000,713.590000,182.010000,827.410000,244.500000,919.750000,343.730000,995.620000,458.660000
688.070000,143.170000,712.220000,184.020000,826.830000,245.090000,919.850000,343.830000,995.700000,458.520000
686.120000,145.470000,710.900000,186.080000,826.170000,245.680000,919.940000,343.920000,995.790000,458.190000
684.210000,148.130000,709.770000,188.050000,826.030000,245.910000,919.960000,344.030000,995.790000,458.120000
682.200000,150.630000,708.640000,190.120000,825.880000,246.390000,920.050000,344.120000,995.920000,457.960000
680.330000,153.450000,707.600000,192.180000,825.770000,246.740000,920.140000,344.220000,995.890000,457.770000
678.360000,156.080000,706.490000,194.250000,825.680000,246.970000,920.230000,344.330000,995.870000,457.640000
676.340000,158.830000,705.270000,196.240000,825.550000,247.210000,920.340000,344.440000,995.880000,457.320000
674.440000,161.680000,704.210000,198.340000,825.120000,247.320000,920.410000,344.850000,995.830000,457.150000
672.690000,164.560000,703.260000,200.360000,825.130000,247.450000,920.510000,345.030000,995.800000,456.980000
670.900000,167.530000,702.300000,202.510000,825.160000,247.510000,920.720000,345.180000,995.740000,456.830000
669.200000,170.480000,701.430000,204.970000,825.150000,247.460000,920.760000,345.360000,995.660000,456.650000
667.530000,173.400000,700.760000,207.030000,825.110000,247.360000,920.820000,345.730000,995.550000,456.340000
666.040000,176.390000,699.940000,209.260000,825.110000,247.320000,920.820000,345.930000,995.410000,456.130000
664.580000,179.380000,699.060000,211.500000,825.060000,247.180000,920.830000,346.020000,995.300000,456.020000
663.040000,182.440000,698.180000,214.150000,825.040000,247.050000,920.840000,346.290000,995.200000,455.980000
661.820000,185.670000,697.390000,216.610000,825.020000,246.920000,920.830000,346.800000,995.170000,455.590000
660.570000,188.870000,697.000000,218.810000,824.990000,246.880000,920.890000,346.950000,995.110000,455.360000
659.300000,191.890000,696.330000,221.110000,824.940000,246.850000,920.940000,347.090000,995.040000,455.190000
658.340000,195.220000,695.630000,223.450000,824.940000,246.710000,920.920000,347.260000,994.990000,455.130000
657.320000,198.400000,695.040000,226.040000,824.940000,246.570000,920.910000,347.470000,994.930000,454.860000
656.590000,201.600000,694.600000,228.800000,824.860000,246.520000,920.910000,347.940000,994.860000,454.570000
655.740000,204.820000,694.637654,230.799687,824.860000,246.540000,920.920000,348.210000,994.760000,454.310000
655.010000,208.040000,694.620000,233.220000,824.820000,246.350000,920.910000,348.630000,994.690000,454.200000
654.360000,211.320000,694.510000,236.060000,824.720000,246.250000,920.910000,348.830000,994.530000,453.940000
653.960000,214.650000,694.110000,238.890000,824.630000,246.230000,920.900000,349.000000,996.420512,453.376717
653.500000,217.910000,694.140000,241.730000,824.630000,246.180000,920.860000,349.220000,995.970000,452.880000
653.200000,221.310000,694.110000,244.550000,824.620000,246.060000,920.800000,349.510000,995.970000,452.210000
652.890000,224.590000,694.100000,246.840000,824.630000,246.090000,920.730000,349.950000,995.830000,452.070000
652.660000,227.880000,694.060000,249.030000,824.650000,246.010000,920.710000,350.110000,995.750000,451.940000
652.540000,231.340000,694.070000,251.160000,824.660000,246.000000,920.690000,350.290000,995.610000,451.730000
652.470000,234.600000,694.170000,253.380000,824.640000,245.860000,920.580000,350.450000,995.450000,451.640000
652.450000,238.100000,694.622728,256.508039,824.610000,245.730000,920.260000,350.800000,995.240000,451.400000
652.430000,241.440000,695.160000,259.240000,824.620000,245.690000,920.170000,351.070000,995.290000,450.950000
652.670000,245.080000,695.970000,262.040000,824.630000,245.650000,920.080000,351.350000,995.671833,450.978724
653.000000,248.580000,696.800000,264.790000,824.650000,245.580000,920.050000,351.640000,994.709246,450.978724
653.220000,252.070000,697.710000,267.480000,824.690000,245.510000,920.010000,351.740000,995.671833,451.231144
653.700000,255.690000,698.430000,269.700000,824.710000,245.450000,919.930000,351.850000,995.778787,451.231144
654.100000,259.150000,698.790000,271.940000,824.720000,245.440000,919.850000,351.950000,995.778787,451.231144
654.760000,262.540000,699.040000,274.180000,824.830000,245.200000,919.810000,352.220000,994.709246,451.231144
