pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
340.531144,67.848187,311.775187,97.068564,394.795431,209.586637,346.862651,352.242971,389.420782,426.348630
341.000000,68.000000,312.000000,97.000000,395.000000,210.000000,347.000000,352.000000,389.420782,426.348630
341.000000,68.000000,312.000000,97.000000,395.000000,210.000000,347.000000,352.000000,389.420782,426.348630
341.000000,68.000000,312.000000,97.000000,395.000000,210.000000,347.000000,352.000000,389.420782,426.348630
341.000000,68.000000,312.000000,97.000000,395.000000,210.000000,347.000000,352.000000,389.420782,426.348630
338.200000,68.010000,309.500000,97.340000,393.910000,209.670000,347.000000,352.000000,389.420782,426.751745
335.340000,68.020000,306.960000,97.700000,392.690000,208.960000,347.000000,352.000000,389.420782,426.832368
332.500000,68.050000,304.270000,98.100000,391.290000,208.170000,347.040000,351.970000,389.663374,427.316105
329.580000,68.060000,301.830000,98.500000,389.830000,207.290000,347.070000,351.940000,389.663374,427.477351
326.670000,68.090000,299.180000,98.970000,388.420000,206.710000,347.120000,351.900000,389.663374,428.122334
323.790000,68.130000,296.760000,99.480000,387.090000,206.080000,347.170000,351.850000,389.663374,429.089809
320.820000,68.160000,294.120000,99.990000,385.840000,205.460000,347.230000,351.800000,389.663374,429.331678
317.840000,68.180000,291.770000,100.540000,384.530000,205.090000,347.330000,351.790000,389.663374,429.331678
314.890000,68.230000,289.160000,101.120000,383.110000,204.820000,347.580000,351.780000,389.663374,429.331678
311.910000,68.260000,286.830000,101.750000,381.820000,204.440000,347.850000,351.710000,389.784670,429.170432
308.920000,68.290000,284.250000,102.320000,380.430000,203.850000,347.950000,351.620000,389.905966,429.170432
305.930000,68.330000,281.900000,103.100000,378.860000,203.020000,348.110000,351.540000,390.269854,429.089809
302.980000,68.450000,279.560000,103.720000,377.410000,202.700000,348.270000,351.290000,391.361517,429.331678
299.980000,68.610000,277.130000,104.340000,375.990000,202.250000,348.470000,351.220000,391.967997,429.492924
296.990000,68.640000,274.910000,105.020000,374.630000,202.060000,348.890000,351.200000,391.604109,429.412301
293.970000,68.750000,272.610000,105.820000,373.290000,201.680000,349.050000,351.120000,392.089293,429.170432
290.970000,68.820000,270.270000,106.580000,371.850000,201.150000,349.230000,350.930000,392.089293,429.412301
287.920000,68.920000,267.960000,107.090000,370.290000,200.910000,349.510000,350.850000,392.089293,429.412301
284.930000,68.960000,265.810000,107.870000,369.080000,200.760000,349.970000,350.840000,392.089293,429.009186
281.850000,69.100000,263.650000,108.680000,367.760000,200.540000,350.190000,350.800000,393.544844,429.734792
278.770000,69.230000,261.430000,109.320000,366.080000,200.300000,350.470000,350.750000,393.544844,430.137907
275.690000,69.380000,259.170000,110.020000,364.610000,200.130000,350.950000,350.710000,394.757804,430.863513
272.640000,69.600000,257.110000,110.820000,363.320000,200.180000,351.060000,350.630000,394.757804,430.863513
269.640000,69.820000,255.070000,111.610000,362.020000,200.190000,351.400000,350.470000,394.757804,430.782890
266.520000,69.980000,253.000000,112.190000,360.850000,200.190000,351.910000,350.290000,394.757804,430.782890
263.240000,70.170000,251.020000,113.010000,359.450000,200.190000,352.180000,350.260000,394.272620,431.669742
260.150000,70.380000,248.970000,113.710000,358.040000,200.170000,352.520000,350.160000,394.757804,432.072857
257.000000,70.680000,246.960000,114.250000,356.780000,200.280000,353.070000,350.060000,395.242988,431.589119
254.000000,70.910000,244.870000,114.820000,355.210000,200.330000,353.630000,349.960000,395.242988,431.830988
250.920000,71.080000,242.810000,115.380000,353.990000,200.360000,354.030000,349.950000,395.606876,432.234102
247.910000,71.310000,240.880000,116.050000,352.810000,200.570000,354.260000,349.910000,395.364284,432.314725
244.830000,71.680000,238.990000,116.520000,351.500000,200.740000,354.880000,349.860000,395.364284,432.314725
241.790000,71.970000,237.040000,117.020000,349.880000,200.830000,355.150000,349.750000,395.364284,432.314725
238.720000,72.150000,235.130000,117.520000,348.400000,200.850000,355.480000,349.620000,395.242988,432.637217
235.760000,72.410000,233.160000,117.930000,347.180000,201.060000,356.000000,349.270000,396.334651,433.282200
232.810000,73.000000,231.160000,118.380000,345.850000,201.080000,356.390000,349.250000,396.941131,433.443446
229.810000,73.340000,229.390000,118.890000,344.640000,201.300000,357.010000,349.230000,396.941131,433.524069
226.750000,73.740000,227.640000,119.200000,342.990000,201.400000,357.540000,349.110000,396.941131,433.765937
223.870000,74.100000,225.900000,119.720000,341.580000,201.750000,357.860000,349.020000,396.698539,434.169052
220.990000,74.560000,224.090000,120.210000,340.300000,201.950000,358.200000,349.010000,396.819835,433.443446
218.190000,75.090000,222.320000,120.550000,338.950000,202.060000,358.730000,348.920000,396.819835,434.249675
215.300000,75.710000,220.860000,121.090000,337.690000,202.260000,359.000000,348.810000,396.698539,434.249675
212.570000,76.090000,219.030000,121.540000,336.280000,202.470000,359.280000,348.810000,396.698539,434.410921
209.880000,76.890000,217.420000,121.910000,334.930000,202.870000,359.820000,348.800000,396.698539,434.572166
207.160000,77.430000,215.900000,122.270000,333.760000,203.220000,360.110000,348.790000,396.334651,435.459018
204.460000,78.060000,214.250000,122.670000,332.430000,203.630000,360.460000,348.780000,395.242988,435.862133
202.040000,78.740000,212.850000,123.150000,331.060000,203.820000,360.980000,348.770000,395.242988,436.023379
199.570000,79.330000,211.210000,123.570000,329.810000,204.150000,361.170000,348.770000,395.242988,436.023379
197.210000,80.100000,209.910000,124.060000,328.650000,204.350000,361.460000,348.760000,394.879100,436.345870
194.760000,80.820000,208.560000,124.580000,327.190000,204.920000,361.960000,348.750000,394.879100,436.345870
192.430000,81.570000,207.140000,125.060000,326.010000,205.310000,362.140000,348.740000,394.030028,436.668362
190.220000,82.230000,205.940000,125.560000,325.020000,205.720000,362.340000,348.730000,395.728171,436.345870
188.020000,83.040000,204.820000,126.040000,323.930000,206.160000,362.770000,348.720000,395.849467,437.071476
186.000000,83.930000,203.640000,126.610000,322.720000,206.690000,362.950000,348.720000,395.849467,436.990854
184.000000,84.750000,202.510000,127.020000,321.630000,207.080000,363.130000,348.720000,396.819835,437.313345
182.050000,85.560000,201.310000,127.480000,320.500000,207.580000,363.330000,348.720000,396.941131,437.393968
180.000000,86.160000,200.270000,127.980000,319.210000,208.070000,363.730000,348.720000,397.062427,437.716460
177.900000,87.010000,199.230000,128.500000,318.250000,208.660000,363.900000,348.720000,397.426315,438.925803
176.020000,87.850000,198.230000,129.040000,317.220000,209.030000,364.060000,348.720000,397.426315,438.925803
174.160000,88.850000,197.320000,129.610000,316.240000,209.480000,364.140000,348.760000,397.426315,439.328918
172.530000,89.750000,196.430000,130.260000,315.380000,209.960000,364.290000,348.790000,397.062427,439.490164
170.930000,90.730000,195.490000,130.990000,314.470000,210.350000,364.310000,348.790000,396.698539,440.215770
169.540000,91.750000,194.550000,131.760000,313.900000,210.950000,364.340000,348.780000,396.941131,439.973901
168.150000,92.780000,193.580000,132.580000,313.050000,211.250000,364.560000,348.800000,397.062427,439.328918
166.960000,93.900000,192.550000,133.340000,312.440000,211.760000,364.820000,348.800000,397.426315,439.328918
165.790000,95.010000,191.500000,134.270000,311.880000,211.950000,364.900000,348.810000,397.426315,440.699507
164.750000,96.050000,190.500000,135.280000,311.200000,212.120000,364.950000,348.900000,396.455947,440.699507
163.700000,97.060000,189.290000,136.320000,310.850000,212.300000,365.000000,348.970000,396.455947,440.699507
163.600000,97.190000,189.250000,136.450000,310.660000,212.280000,365.000000,348.970000,396.334651,440.215770
162.750000,98.020000,188.300000,137.310000,310.230000,212.540000,365.010000,349.010000,396.334651,440.377015
161.840000,99.120000,187.300000,138.560000,310.010000,212.860000,365.020000,349.060000,396.334651,440.377015
160.910000,100.230000,186.230000,139.860000,309.790000,212.990000,365.020000,349.060000,396.334651,440.699507
160.080000,101.360000,185.220000,140.860000,309.340000,213.060000,365.140000,349.170000,396.334651,440.699507
159.150000,102.430000,184.200000,142.020000,308.980000,213.170000,365.140000,349.170000,396.334651,440.699507
158.100000,103.770000,183.200000,143.170000,308.830000,213.270000,365.140000,349.180000,396.334651,441.425113
157.130000,104.960000,182.270000,144.350000,308.670000,213.360000,365.140000,349.190000,396.334651,441.666982
156.130000,106.140000,181.300000,145.740000,308.500000,213.420000,365.180000,349.260000,396.334651,442.150719
155.110000,107.350000,180.470000,146.960000,308.220000,213.470000,365.230000,349.340000,396.819835,442.392588
154.050000,108.670000,179.730000,148.160000,308.220000,213.730000,365.350000,349.350000,396.698539,442.392588
152.900000,110.180000,178.900000,149.500000,308.150000,213.750000,365.350000,349.440000,395.728171,442.876325
151.890000,111.450000,177.960000,150.870000,308.100000,213.770000,365.340000,349.710000,395.606876,443.198817
150.830000,112.850000,177.120000,152.110000,308.080000,213.790000,365.370000,349.830000,395.606876,443.279440
149.790000,114.260000,176.350000,153.350000,308.060000,213.800000,365.380000,349.930000,395.606876,443.521309
148.730000,115.760000,175.740000,154.840000,308.060000,213.830000,365.390000,349.930000,395.606876,443.924423
147.730000,117.270000,175.000000,156.030000,308.060000,213.880000,365.460000,350.130000,395.606876,443.924423
146.670000,118.770000,174.250000,157.350000,308.080000,213.890000,365.660000,350.180000,394.757804,443.601932
145.790000,120.240000,173.660000,158.760000,308.120000,213.930000,365.680000,350.290000,394.030028,444.327538
144.700000,121.820000,173.020000,159.970000,308.150000,213.970000,365.680000,350.410000,393.787436,444.730652
143.820000,123.300000,172.470000,161.350000,308.190000,214.010000,365.690000,350.730000,393.666140,445.053144
142.920000,124.880000,171.990000,162.840000,308.210000,214.030000,365.690000,350.840000,393.666140,444.972521
141.980000,126.510000,171.380000,164.040000,308.230000,214.060000,365.690000,351.010000,393.059661,445.778750
141.190000,128.030000,171.030000,165.520000,308.260000,214.070000,365.680000,351.090000,393.059661,445.778750
140.400000,129.750000,170.480000,166.930000,308.350000,214.120000,365.680000,351.290000,392.938365,445.859373
139.730000,131.350000,170.080000,168.210000,308.430000,214.190000,365.680000,351.520000,392.574477,446.020619
138.990000,133.010000,169.870000,169.840000,308.640000,214.210000,365.630000,351.840000,392.453181,446.181864
138.270000,134.680000,169.380000,171.030000,308.690000,214.220000,365.490000,352.090000,392.331885,446.343110
137.800000,136.250000,169.070000,172.310000,308.850000,214.350000,365.280000,352.280000,392.331885,446.343110
137.160000,137.970000,168.870000,173.760000,308.870000,214.370000,365.260000,352.490000,391.967997,446.907471
136.780000,139.710000,168.660000,175.110000,309.020000,214.390000,365.250000,352.890000,391.967997,446.907471
136.260000,141.180000,168.420000,176.570000,309.150000,214.430000,365.200000,353.110000,391.482813,447.633077
135.920000,142.870000,168.250000,177.910000,309.290000,214.490000,365.150000,353.350000,390.876334,448.358683
135.580000,144.550000,168.190000,179.230000,309.480000,214.760000,365.090000,353.790000,390.876334,448.600551
135.180000,146.110000,168.120000,180.590000,309.800000,214.910000,365.020000,353.990000,390.876334,448.681174
134.920000,147.800000,168.110000,182.030000,309.980000,214.900000,364.950000,354.190000,390.391150,450.213010
134.780000,149.300000,168.120000,183.230000,310.190000,214.980000,364.840000,354.400000,390.148558,450.535501
134.660000,151.010000,168.120000,184.730000,310.460000,215.060000,364.760000,354.810000,389.420782,451.583599
134.600000,152.540000,168.310000,186.040000,310.910000,215.170000,364.690000,355.050000,389.420782,451.664222
134.500000,154.060000,168.550000,187.220000,311.170000,215.280000,364.660000,355.270000,389.299486,451.986713
134.360000,155.720000,168.900000,188.450000,311.500000,215.330000,364.580000,355.610000,388.693007,452.228582
134.350000,157.090000,169.110000,189.790000,312.030000,215.400000,364.460000,356.070000,389.420782,452.228582
134.460000,158.780000,169.250000,191.050000,312.560000,215.510000,364.180000,356.360000,389.299486,452.228582
134.610000,160.150000,169.650000,192.280000,312.910000,215.790000,364.070000,356.570000,389.178190,452.389828
134.800000,161.760000,169.950000,193.600000,313.380000,215.810000,363.980000,356.820000,389.178190,452.389828
135.000000,163.140000,170.370000,194.770000,314.110000,215.830000,363.880000,357.020000,389.056894,452.389828
135.160000,164.630000,170.930000,195.970000,314.720000,215.910000,363.780000,357.250000,389.056894,452.389828
135.610000,166.030000,171.350000,196.970000,315.310000,215.920000,363.680000,357.560000,388.693007,452.389828
135.930000,167.430000,171.950000,198.150000,316.110000,215.920000,363.600000,357.930000,389.056894,452.389828
136.180000,168.840000,172.490000,199.290000,316.820000,215.800000,363.410000,358.000000,389.178190,452.631697
136.680000,170.240000,173.140000,200.520000,317.610000,215.800000,363.250000,358.320000,389.178190,452.631697
137.150000,171.600000,173.760000,201.550000,318.190000,215.800000,363.040000,358.650000,389.178190,452.873565
137.740000,173.010000,174.370000,202.750000,319.020000,215.580000,362.860000,358.760000,389.420782,452.873565
138.290000,174.190000,175.120000,203.810000,319.870000,215.240000,362.780000,358.950000,389.663374,452.873565
138.920000,175.510000,175.930000,204.930000,320.680000,215.210000,362.700000,359.130000,389.663374,452.873565
139.540000,176.890000,176.630000,205.910000,321.250000,215.200000,362.600000,359.240000,389.784670,452.873565
140.150000,178.110000,177.350000,207.080000,322.150000,215.010000,362.460000,359.350000,389.905966,452.873565
140.910000,179.340000,178.190000,208.030000,322.980000,214.840000,362.130000,359.550000,389.178190,452.631697
141.690000,180.750000,179.130000,209.030000,323.890000,214.840000,361.990000,359.900000,389.420782,452.309205
142.350000,181.910000,180.050000,210.130000,324.860000,214.600000,361.800000,360.080000,390.148558,452.228582
143.110000,183.040000,180.950000,211.130000,325.660000,214.310000,361.800000,360.080000,390.148558,451.906090
143.940000,184.230000,181.830000,212.070000,326.430000,214.120000,361.630000,360.190000,390.148558,451.583599
