pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y
346.781992,352.44196,395.191397,210.016777,312.672386,97.131605,340.739787,68.106179,382.989786,425.969867
347,352,395,210,313,97,341,68,383.265101,426.267114
347,352,395,210,313,97,341,68,382.989786,425.870785
347,352,395,210,313,97,341,68,382.989786,425.771703
347,352,395,210,313,97,341,68,382.989786,425.771703
347,352,393.91,209.67,310.5,97.33,338.2,68.01,383.402759,426.068949
347,352,392.69,208.96,307.96,97.68,335.34,68.02,382.989786,426.068949
347.04,351.97,391.29,208.17,305.25,98.06,332.5,68.05,383.815732,426.762524
347.07,351.94,389.83,207.29,302.79,98.42,329.58,68.06,383.402759,426.762524
347.12,351.9,388.42,206.71,300.13,98.9,326.67,68.09,383.678074,426.068949
347.17,351.85,387.09,206.08,297.7,99.36,323.79,68.13,382.714471,426.762524
347.23,351.8,385.84,205.46,295.06,99.9,320.82,68.16,384.779335,426.465278
347.33,351.79,384.53,205.09,292.47,100.38,317.84,68.18,384.366363,426.861607
347.58,351.78,383.11,204.82,290.1,101.01,314.89,68.23,385.054651,427.257935
347.85,351.71,381.82,204.44,287.76,101.64,311.91,68.26,386.568885,427.357017
347.95,351.62,380.43,203.85,285.19,102.2,308.92,68.29,386.431227,427.555182
348.11,351.54,378.86,203.02,282.84,102.99,305.93,68.33,386.568885,427.654264
348.27,351.29,377.41,202.7,280.33,103.58,302.98,68.45,386.568885,428.050592
348.47,351.22,375.99,202.25,278.08,104.23,299.98,68.61,386.568885,428.248757
348.89,351.2,374.63,202.06,275.85,104.91,296.99,68.64,386.568885,428.347839
349.05,351.12,373.29,201.68,273.53,105.71,293.97,68.75,386.431227,427.95151
349.23,350.93,371.85,201.15,271.22,106.32,290.97,68.82,387.119516,428.347839
349.51,350.85,370.29,200.91,268.94,107.01,287.92,68.92,387.119516,428.248757
349.97,350.84,369.08,200.76,266.79,107.81,284.93,68.96,388.358435,428.149675
350.19,350.8,367.76,200.54,264.6,108.63,281.85,69.1,389.459696,428.645085
350.47,350.75,366.08,200.3,262.52,109.33,278.77,69.23,389.459696,429.041414
350.95,350.71,364.61,200.13,260.21,110.03,275.69,69.38,389.735011,429.33866
351.06,350.63,363.32,200.18,258.15,110.85,272.64,69.6,388.405002,429.976483
351.4,350.47,362.02,200.19,256.11,111.66,269.64,69.82,390.056894,430.570976
351.91,350.29,360.85,200.19,254.04,112.23,266.52,69.98,388.817975,430.570976
352.18,350.26,359.45,200.19,252.05,113.04,263.24,70.17,388.611488,430.719599
352.52,350.16,358.04,200.17,249.99,113.74,260.15,70.38,387.785543,430.570976
353.07,350.06,356.78,200.28,247.98,114.28,257,70.68,387.37257,430.719599
353.63,349.96,355.21,200.33,245.89,114.86,254,70.91,388.611488,430.570976
354.03,349.95,353.99,200.36,243.83,115.43,250.92,71.08,388.611488,431.462715
354.26,349.91,352.81,200.57,241.9,116.1,247.91,71.31,389.024461,430.125106
354.88,349.86,351.5,200.74,240.03,116.59,244.83,71.68,389.024461,431.759962
355.15,349.75,349.88,200.83,238.09,117.07,241.79,71.97,388.611488,431.314092
355.48,349.62,348.4,200.85,236.19,117.58,238.72,72.15,388.405002,432.354455
356,349.27,347.18,201.06,234.21,117.96,235.76,72.41,388.405002,432.800324
356.39,349.25,345.85,201.08,232.21,118.41,232.81,73,389.437434,431.611338
357.01,349.23,344.64,201.3,230.47,118.91,229.81,73.34,390.88284,432.205831
357.54,349.11,342.99,201.4,228.6,119.21,226.75,73.74,390.26338,433.394817
357.86,349.02,341.58,201.75,226.9,119.73,223.87,74.1,390.469867,433.54344
