pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
908.538077,353.688173,935.394873,207.413772,852.670241,109.161433,871.852054,77.643340
909.000000,354.000000,935.000000,207.000000,853.000000,109.000000,872.000000,78.000000
909.000000,354.000000,935.000000,207.000000,853.000000,109.000000,872.000000,78.000000
909.000000,354.000000,935.000000,207.000000,853.000000,109.000000,872.000000,78.000000
909.000000,354.000000,935.000000,207.000000,853.000000,109.000000,872.000000,78.000000
908.810000,354.000000,933.370000,206.920000,850.530000,109.260000,869.330000,78.000000
908.750000,353.990000,931.930000,206.760000,848.210000,109.470000,866.660000,78.020000
908.600000,353.980000,929.960000,206.570000,845.730000,110.070000,863.880000,78.080000
908.320000,353.900000,928.070000,205.910000,843.000000,110.340000,860.950000,78.170000
908.070000,353.890000,926.230000,205.770000,840.440000,110.900000,858.180000,78.220000
907.970000,353.830000,924.320000,205.190000,838.060000,111.150000,855.370000,78.250000
907.850000,353.770000,922.630000,205.040000,835.730000,111.450000,852.760000,78.260000
907.760000,353.660000,921.030000,204.910000,833.110000,112.110000,849.880000,78.300000
907.650000,353.550000,919.190000,204.890000,830.950000,112.800000,847.010000,78.370000
907.550000,353.250000,917.370000,204.710000,828.530000,113.090000,844.170000,78.470000
907.250000,353.160000,915.800000,204.730000,825.960000,113.330000,841.400000,78.560000
907.180000,353.070000,913.930000,204.610000,823.590000,114.060000,838.610000,78.540000
907.110000,352.990000,912.000000,204.390000,821.220000,114.810000,835.730000,78.680000
907.040000,352.900000,910.110000,204.040000,819.000000,115.390000,832.930000,78.730000
907.010000,352.760000,908.230000,203.990000,816.800000,115.790000,830.070000,78.860000
906.980000,352.600000,906.270000,203.970000,814.590000,116.130000,827.090000,78.890000
906.960000,352.250000,904.440000,203.980000,811.980000,116.430000,824.320000,79.050000
906.820000,352.140000,902.830000,204.010000,809.620000,117.190000,821.650000,79.200000
906.850000,351.950000,900.780000,203.900000,807.390000,117.840000,818.770000,79.260000
906.840000,351.900000,898.710000,203.910000,805.150000,118.200000,815.900000,79.260000
906.840000,351.620000,896.670000,204.060000,803.020000,118.880000,812.930000,79.470000
906.850000,351.350000,894.800000,204.060000,800.820000,119.270000,810.120000,79.440000
906.900000,351.190000,892.730000,204.220000,798.750000,119.890000,807.250000,79.570000
906.950000,351.050000,890.780000,204.240000,796.342077,120.004134,804.300000,79.660000
906.990000,350.900000,888.750000,204.630000,794.382264,120.107792,801.470000,79.770000
907.020000,350.740000,886.910000,205.060000,792.464598,120.531848,798.730000,79.950000
907.130000,350.530000,884.870000,205.260000,790.399420,120.673199,795.900000,80.000000
907.170000,350.100000,882.900000,205.770000,787.449164,121.568428,792.940000,80.200000
907.390000,349.940000,881.030000,206.080000,785.552572,122.369422,790.130000,80.460000
907.580000,349.880000,879.030000,206.450000,783.466320,122.501350,787.230000,80.680000
907.800000,349.640000,877.170000,207.090000,781.485434,123.387155,784.430000,80.900000
907.990000,349.240000,875.060000,207.800000,779.230596,124.404888,781.660000,81.110000
908.140000,349.110000,873.170000,208.420000,777.090000,124.680000,778.790000,81.460000
908.290000,348.980000,870.870000,209.480000,775.210000,124.970000,775.860000,81.750000
908.570000,348.840000,869.360000,209.940000,774.366328,125.479162,772.990000,82.140000
908.890000,348.630000,867.760000,211.050000,772.420000,125.760000,770.020000,82.510000
909.080000,348.230000,865.550000,211.970000,770.640000,126.090000,767.190000,83.000000
909.320000,348.120000,863.370000,212.710000,768.820000,126.620000,764.290000,83.480000
909.770000,348.010000,861.750000,213.130000,766.980000,127.230000,761.530000,84.130000
910.070000,347.830000,860.040000,214.160000,765.413725,127.707614,758.680000,84.690000
910.300000,347.680000,858.210000,215.060000,763.460070,128.320918,755.950000,85.560000
910.760000,347.500000,856.190000,216.070000,761.620000,128.950000,753.060000,86.260000
911.030000,347.250000,854.510000,216.940000,759.970000,129.810000,750.420000,87.240000
911.300000,347.170000,853.030000,218.080000,759.386275,131.447999,747.820000,88.020000
911.740000,347.020000,851.010000,219.110000,757.950000,132.420000,745.230000,89.280000
911.990000,346.880000,849.300000,220.080000,755.768882,133.483959,742.760000,90.370000
912.310000,346.690000,847.990000,221.240000,754.630650,134.690196,740.260000,91.570000
912.840000,346.620000,846.510000,222.260000,753.430000,136.030000,737.950000,92.770000
913.100000,346.510000,844.810000,223.330000,752.130000,137.110000,735.700000,94.090000
913.390000,346.230000,843.180000,224.410000,750.890000,138.240000,733.330000,95.610000
913.890000,346.100000,841.930000,225.530000,749.660000,139.400000,731.230000,97.030000
914.150000,345.980000,840.700000,227.030000,748.080000,141.090000,729.230000,98.600000
914.400000,345.930000,839.140000,228.020000,746.990000,142.800000,727.370000,100.010000
914.860000,345.860000,838.110000,229.020000,745.610000,144.010000,725.550000,101.440000
915.080000,345.810000,836.990000,230.130000,743.950000,145.180000,723.860000,102.930000
915.280000,345.620000,836.100000,231.110000,742.200000,146.390000,722.020000,104.420000
915.550000,345.360000,835.180000,232.060000,740.770000,148.090000,720.160000,106.120000
915.980000,345.270000,834.390000,233.090000,739.570000,149.890000,718.240000,107.710000
916.180000,345.200000,833.890000,233.980000,738.160000,151.680000,716.760000,109.440000
916.350000,345.160000,833.120000,234.980000,736.820000,153.100000,715.110000,111.200000
916.800000,345.080000,832.430000,235.950000,735.170000,154.940000,713.580000,112.970000
917.010000,345.020000,831.970000,236.910000,733.920000,156.810000,712.140000,114.720000
917.210000,344.970000,831.340000,237.780000,732.560000,158.700000,710.780000,116.530000
917.430000,344.910000,831.020000,238.650000,730.900000,160.450000,709.240000,118.300000
917.770000,344.870000,830.730000,239.520000,729.050000,161.990000,707.890000,120.160000
917.910000,344.840000,830.060000,239.960000,727.300000,163.890000,706.450000,122.020000
918.070000,344.830000,829.350000,240.330000,725.950000,165.870000,704.910000,123.860000
918.260000,344.820000,829.090000,241.160000,724.520000,167.850000,703.340000,125.800000
918.260000,344.820000,829.110000,241.560000,724.447496,167.937361,703.280000,125.820000
918.440000,344.740000,828.810000,242.000000,722.660000,169.610000,701.810000,127.840000
918.800000,344.650000,828.480000,242.490000,720.840000,171.740000,700.110000,129.810000
918.990000,344.650000,827.960000,243.210000,719.160000,173.990000,698.300000,131.800000
919.070000,344.620000,827.270000,243.990000,717.600000,175.850000,696.580000,134.030000
919.270000,344.620000,827.100000,244.650000,716.170000,177.860000,694.810000,136.200000
919.410000,344.680000,826.910000,245.050000,714.950000,179.970000,692.910000,138.470000
919.750000,344.730000,826.710000,245.790000,713.690000,181.980000,691.010000,140.720000
919.850000,344.830000,826.460000,246.140000,712.150000,183.940000,689.070000,143.170000
919.940000,344.920000,825.920000,246.800000,710.920000,186.000000,687.130000,145.480000
919.960000,345.030000,825.400000,246.970000,709.820000,188.010000,685.230000,148.120000
920.050000,345.130000,825.240000,247.290000,708.700000,190.070000,683.230000,150.620000
