 485   2  14
    Time           RX            RY        Thigh angle   Shank angle   Foot angle  
  0.00000E+00   4.71253E+00   1.69619E+02   1.06245E+02   3.62610E+01   8.82633E+01
  1.00000E-03  -1.25867E+01   3.54010E+02   1.06284E+02   3.59577E+01   8.88137E+01
  2.00000E-03  -5.21503E+01   5.62100E+02   1.06323E+02   3.56333E+01   8.93347E+01
  3.00000E-03  -1.18475E+02   7.58787E+02   1.06362E+02   3.52881E+01   8.98126E+01
  4.00000E-03  -2.12127E+02   9.11982E+02   1.06401E+02   3.49238E+01   9.02486E+01
  5.00000E-03  -3.28817E+02   1.00912E+03   1.06438E+02   3.45439E+01   9.06676E+01
  6.00000E-03  -4.59254E+02   1.06723E+03   1.06472E+02   3.41505E+01   9.10963E+01
  7.00000E-03  -5.89990E+02   1.12950E+03   1.06502E+02   3.37476E+01   9.15533E+01
  8.00000E-03  -7.05434E+02   1.24756E+03   1.06529E+02   3.33412E+01   9.20488E+01
  9.00000E-03  -7.90733E+02   1.45728E+03   1.06554E+02   3.29388E+01   9.25707E+01
  1.00000E-02  -8.34742E+02   1.75996E+03   1.06582E+02   3.25486E+01   9.30886E+01
  1.10000E-02  -8.32355E+02   2.11910E+03   1.06616E+02   3.21784E+01   9.35700E+01
  1.20000E-02  -7.85814E+02   2.47466E+03   1.06659E+02   3.18319E+01   9.39852E+01
  1.30000E-02  -7.04743E+02   2.76822E+03   1.06717E+02   3.15089E+01   9.43221E+01
  1.40000E-02  -6.04603E+02   2.96652E+03   1.06790E+02   3.12084E+01   9.45885E+01
  1.50000E-02  -5.03616E+02   3.07280E+03   1.06881E+02   3.09241E+01   9.47977E+01
  1.60000E-02  -4.18910E+02   3.12158E+03   1.06994E+02   3.06500E+01   9.49660E+01
  1.70000E-02  -3.63194E+02   3.16093E+03   1.07132E+02   3.03820E+01   9.51038E+01
  1.80000E-02  -3.43005E+02   3.23124E+03   1.07296E+02   3.01172E+01   9.52153E+01
  1.90000E-02  -3.58605E+02   3.34962E+03   1.07485E+02   2.98545E+01   9.53100E+01
  2.00000E-02  -4.04850E+02   3.50546E+03   1.07695E+02   2.95947E+01   9.53977E+01
  2.10000E-02  -4.72237E+02   3.66729E+03   1.07919E+02   2.93392E+01   9.54900E+01
  2.20000E-02  -5.47861E+02   3.79691E+03   1.08153E+02   2.90892E+01   9.55977E+01
  2.30000E-02  -6.16692E+02   3.86460E+03   1.08392E+02   2.88488E+01   9.57225E+01
  2.40000E-02  -6.63701E+02   3.85992E+03   1.08638E+02   2.86218E+01   9.58602E+01
  2.50000E-02  -6.76926E+02   3.79483E+03   1.08892E+02   2.84101E+01   9.60059E+01
  2.60000E-02  -6.50796E+02   3.69836E+03   1.09153E+02   2.82140E+01   9.61562E+01
  2.70000E-02  -5.88537E+02   3.60535E+03   1.09422E+02   2.80316E+01   9.63089E+01
  2.80000E-02  -5.02507E+02   3.54319E+03   1.09694E+02   2.78608E+01   9.64644E+01
  2.90000E-02  -4.11856E+02   3.52188E+03   1.09967E+02   2.77007E+01   9.66231E+01
  3.00000E-02  -3.37857E+02   3.53112E+03   1.10237E+02   2.75520E+01   9.67854E+01
  3.10000E-02  -2.98110E+02   3.54556E+03   1.10500E+02   2.74163E+01   9.69532E+01
  3.20000E-02  -3.01347E+02   3.53590E+03   1.10753E+02   2.72956E+01   9.71288E+01
  3.30000E-02  -3.44561E+02   3.48107E+03   1.10993E+02   2.71919E+01   9.73120E+01
  3.40000E-02  -4.13558E+02   3.37644E+03   1.11217E+02   2.71073E+01   9.75012E+01
  3.50000E-02  -4.86946E+02   3.23499E+03   1.11422E+02   2.70435E+01   9.76945E+01
  3.60000E-02  -5.42341E+02   3.08161E+03   1.11605E+02   2.70010E+01   9.78906E+01
  3.70000E-02  -5.62725E+02   2.94356E+03   1.11767E+02   2.69796E+01   9.80905E+01
  3.80000E-02  -5.40858E+02   2.84108E+03   1.11909E+02   2.69785E+01   9.82962E+01
  3.90000E-02  -4.80441E+02   2.78161E+03   1.12034E+02   2.69964E+01   9.85092E+01
  4.00000E-02  -3.93964E+02   2.75897E+03   1.12143E+02   2.70319E+01   9.87293E+01
  4.10000E-02  -2.98292E+02   2.75712E+03   1.12238E+02   2.70841E+01   9.89552E+01
  4.20000E-02  -2.09584E+02   2.75638E+03   1.12319E+02   2.71521E+01   9.91849E+01
  4.30000E-02  -1.39144E+02   2.74000E+03   1.12385E+02   2.72348E+01   9.94151E+01
  4.40000E-02  -9.13501E+01   2.69911E+03   1.12438E+02   2.73311E+01   9.96440E+01
  4.50000E-02  -6.40225E+01   2.63502E+03   1.12476E+02   2.74390E+01   9.98696E+01
  4.60000E-02  -5.07617E+01   2.55829E+03   1.12500E+02   2.75569E+01   1.00091E+02
  4.70000E-02  -4.41043E+01   2.48488E+03   1.12510E+02   2.76835E+01   1.00311E+02
  4.80000E-02  -3.82001E+01   2.43054E+03   1.12509E+02   2.78182E+01   1.00530E+02
  4.90000E-02  -3.00950E+01   2.40511E+03   1.12498E+02   2.79603E+01   1.00749E+02
  5.00000E-02  -1.94495E+01   2.40907E+03   1.12479E+02   2.81092E+01   1.00967E+02
  5.10000E-02  -7.19251E+00   2.43365E+03   1.12454E+02   2.82644E+01   1.01181E+02
  5.20000E-02   6.06617E+00   2.46474E+03   1.12423E+02   2.84258E+01   1.01385E+02
  5.30000E-02   2.10601E+01   2.48896E+03   1.12384E+02   2.85936E+01   1.01579E+02
  5.40000E-02   3.98300E+01   2.49921E+03   1.12335E+02   2.87682E+01   1.01760E+02
  5.50000E-02   6.46455E+01   2.49699E+03   1.12274E+02   2.89502E+01   1.01930E+02
  5.60000E-02   9.64295E+01   2.49041E+03   1.12202E+02   2.91404E+01   1.02088E+02
  5.70000E-02   1.33534E+02   2.48903E+03   1.12117E+02   2.93397E+01   1.02236E+02
  5.80000E-02   1.71625E+02   2.49813E+03   1.12021E+02   2.95495E+01   1.02370E+02
  5.90000E-02   2.04898E+02   2.51539E+03   1.11913E+02   2.97707E+01   1.02491E+02
  6.00000E-02   2.28178E+02   2.53161E+03   1.11793E+02   3.00034E+01   1.02597E+02
  6.10000E-02   2.39000E+02   2.53500E+03   1.11663E+02   3.02474E+01   1.02689E+02
  6.20000E-02   2.38814E+02   2.51680E+03   1.11523E+02   3.05027E+01   1.02766E+02
  6.30000E-02   2.32814E+02   2.47536E+03   1.11373E+02   3.07693E+01   1.02827E+02
  6.40000E-02   2.28414E+02   2.41689E+03   1.11214E+02   3.10486E+01   1.02868E+02
  6.50000E-02   2.32902E+02   2.35251E+03   1.11044E+02   3.13427E+01   1.02886E+02
  6.60000E-02   2.51087E+02   2.29340E+03   1.10862E+02   3.16534E+01   1.02878E+02
  6.70000E-02   2.83770E+02   2.24618E+03   1.10668E+02   3.19822E+01   1.02843E+02
  6.80000E-02   3.27548E+02   2.21052E+03   1.10460E+02   3.23294E+01   1.02782E+02
  6.90000E-02   3.75981E+02   2.17975E+03   1.10243E+02   3.26949E+01   1.02698E+02
  7.00000E-02   4.21708E+02   2.14393E+03   1.10019E+02   3.30775E+01   1.02594E+02
  7.10000E-02   4.58779E+02   2.09393E+03   1.09789E+02   3.34763E+01   1.02471E+02
  7.20000E-02   4.84390E+02   2.02487E+03   1.09554E+02   3.38904E+01   1.02330E+02
  7.30000E-02   4.99457E+02   1.93756E+03   1.09315E+02   3.43192E+01   1.02173E+02
  7.40000E-02   5.07848E+02   1.83775E+03   1.09070E+02   3.47621E+01   1.02000E+02
  7.50000E-02   5.14654E+02   1.73350E+03   1.08820E+02   3.52184E+01   1.01812E+02
  7.60000E-02   5.24199E+02   1.63185E+03   1.08565E+02   3.56874E+01   1.01610E+02
  7.70000E-02   5.38587E+02   1.53619E+03   1.08306E+02   3.61678E+01   1.01395E+02
  7.80000E-02   5.57279E+02   1.44543E+03   1.08044E+02   3.66580E+01   1.01168E+02
  7.90000E-02   5.77822E+02   1.35526E+03   1.07779E+02   3.71565E+01   1.00930E+02
  8.00000E-02   5.96822E+02   1.26096E+03   1.07511E+02   3.76618E+01   1.00679E+02
  8.10000E-02   6.12425E+02   1.16039E+03   1.07242E+02   3.81728E+01   1.00414E+02
  8.20000E-02   6.20906E+02   1.05548E+03   1.06973E+02   3.86889E+01   1.00135E+02
  8.30000E-02   6.35849E+02   9.53703E+02   1.06706E+02   3.92094E+01   9.98426E+01
  8.40000E-02   5.77905E+02   8.54505E+02   1.06443E+02   3.97334E+01   9.95385E+01
  8.50000E-02   5.43284E+02   7.70228E+02   1.06185E+02   4.02592E+01   9.92265E+01
  8.60000E-02   5.45129E+02   7.18795E+02   1.05932E+02   4.07842E+01   9.89116E+01
  8.70000E-02   5.40917E+02   6.79179E+02   1.05685E+02   4.13054E+01   9.85979E+01
  8.80000E-02   5.32802E+02   6.47224E+02   1.05444E+02   4.18196E+01   9.82897E+01
  8.90000E-02   5.20462E+02   6.16684E+02   1.05211E+02   4.23247E+01   9.79896E+01
  9.00000E-02   5.03814E+02   5.82649E+02   1.04988E+02   4.28201E+01   9.76980E+01
  9.10000E-02   4.83238E+02   5.43345E+02   1.04775E+02   4.33059E+01   9.74135E+01
  9.20000E-02   4.60438E+02   5.00528E+02   1.04571E+02   4.37824E+01   9.71348E+01
  9.30000E-02   4.35406E+02   4.57968E+02   1.04377E+02   4.42502E+01   9.68602E+01
  9.40000E-02   4.15091E+02   4.20459E+02   1.04191E+02   4.47090E+01   9.65897E+01
  9.50000E-02   3.80042E+02   3.87756E+02   1.04013E+02   4.51583E+01   9.63247E+01
  9.60000E-02   3.36000E+02   3.64168E+02   1.03843E+02   4.55974E+01   9.60676E+01
  9.70000E-02   3.16237E+02   3.49547E+02   1.03680E+02   4.60249E+01   9.58238E+01
  9.80000E-02   2.93709E+02   3.34066E+02   1.03524E+02   4.64401E+01   9.55988E+01
  9.90000E-02   2.66482E+02   3.15197E+02   1.03375E+02   4.68429E+01   9.53974E+01
  1.00000E-01   2.34058E+02   2.91976E+02   1.03234E+02   4.72340E+01   9.52221E+01
  1.01000E-01   1.98656E+02   2.67343E+02   1.03099E+02   4.76140E+01   9.50687E+01
  1.02000E-01   1.47176E+02   2.29247E+02   1.02972E+02   4.79830E+01   9.49258E+01
  1.03000E-01   1.14678E+02   2.04179E+02   1.02853E+02   4.83396E+01   9.47797E+01
  1.04000E-01   1.08396E+02   1.93056E+02   1.02742E+02   4.86821E+01   9.46196E+01
  1.05000E-01   1.13355E+02   1.83988E+02   1.02640E+02   4.90079E+01   9.44434E+01
  1.06000E-01   1.22990E+02   1.73835E+02   1.02546E+02   4.93145E+01   9.42644E+01
  1.07000E-01   1.32362E+02   1.61344E+02   1.02460E+02   4.95997E+01   9.41017E+01
  1.08000E-01   1.36146E+02   1.46289E+02   1.02381E+02   4.98620E+01   9.39732E+01
  1.09000E-01   1.31156E+02   1.29062E+02   1.02308E+02   5.01011E+01   9.38931E+01
  1.10000E-01   1.11020E+02   1.11866E+02   1.02241E+02   5.03184E+01   9.38650E+01
  1.11000E-01   1.12970E+02   8.66674E+01   1.02180E+02   5.05155E+01   9.38887E+01
  1.12000E-01   0.00000E+00   0.00000E+00   1.02126E+02   5.06939E+01   9.39629E+01
  1.13000E-01   0.00000E+00   0.00000E+00   1.02077E+02   5.08543E+01   9.40807E+01
  1.14000E-01   0.00000E+00   0.00000E+00   1.02034E+02   5.09974E+01   9.42312E+01
  1.15000E-01   0.00000E+00   0.00000E+00   1.01996E+02   5.11241E+01   9.44001E+01
  1.16000E-01   0.00000E+00   0.00000E+00   1.01963E+02   5.12356E+01   9.45718E+01
  1.17000E-01   0.00000E+00   0.00000E+00   1.01934E+02   5.13331E+01   9.47362E+01
  1.18000E-01   0.00000E+00   0.00000E+00   1.01909E+02   5.14176E+01   9.48882E+01
  1.19000E-01   0.00000E+00   0.00000E+00   1.01888E+02   5.14892E+01   9.50255E+01
  1.20000E-01   0.00000E+00   0.00000E+00   1.01871E+02   5.15477E+01   9.51478E+01
  1.21000E-01   0.00000E+00   0.00000E+00   1.01858E+02   5.15933E+01   9.52556E+01
  1.22000E-01   0.00000E+00   0.00000E+00   1.01849E+02   5.16262E+01   9.53485E+01
  1.23000E-01   0.00000E+00   0.00000E+00   1.01844E+02   5.16469E+01   9.54291E+01
  1.24000E-01   0.00000E+00   0.00000E+00   1.01843E+02   5.16572E+01   9.55029E+01
  1.25000E-01   0.00000E+00   0.00000E+00   1.01845E+02   5.16582E+01   9.55731E+01
  1.26000E-01   0.00000E+00   0.00000E+00   1.01851E+02   5.16509E+01   9.56428E+01
  1.27000E-01   0.00000E+00   0.00000E+00   1.01859E+02   5.16360E+01   9.57107E+01
  1.28000E-01   0.00000E+00   0.00000E+00   1.01869E+02   5.16136E+01   9.57705E+01
  1.29000E-01   0.00000E+00   0.00000E+00   1.01881E+02   5.15842E+01   9.58176E+01
  1.30000E-01   0.00000E+00   0.00000E+00   1.01892E+02   5.15486E+01   9.58485E+01
  1.31000E-01   0.00000E+00   0.00000E+00   1.01904E+02   5.15079E+01   9.58625E+01
  1.32000E-01   0.00000E+00   0.00000E+00   1.01916E+02   5.14630E+01   9.58608E+01
  1.33000E-01   0.00000E+00   0.00000E+00   1.01928E+02   5.14148E+01   9.58444E+01
  1.34000E-01   0.00000E+00   0.00000E+00   1.01940E+02   5.13633E+01   9.58136E+01
  1.35000E-01   0.00000E+00   0.00000E+00   1.01951E+02   5.13088E+01   9.57678E+01
  1.36000E-01   0.00000E+00   0.00000E+00   1.01962E+02   5.12515E+01   9.57062E+01
  1.37000E-01   0.00000E+00   0.00000E+00   1.01972E+02   5.11917E+01   9.56287E+01
  1.38000E-01   0.00000E+00   0.00000E+00   1.01982E+02   5.11299E+01   9.55372E+01
  1.39000E-01   0.00000E+00   0.00000E+00   1.01991E+02   5.10663E+01   9.54346E+01
  1.40000E-01   0.00000E+00   0.00000E+00   1.02000E+02   5.10005E+01   9.53236E+01
  1.41000E-01   0.00000E+00   0.00000E+00   1.02007E+02   5.09327E+01   9.52064E+01
  1.42000E-01   0.00000E+00   0.00000E+00   1.02012E+02   5.08626E+01   9.50838E+01
  1.43000E-01   0.00000E+00   0.00000E+00   1.02017E+02   5.07900E+01   9.49570E+01
  1.44000E-01   0.00000E+00   0.00000E+00   1.02020E+02   5.07146E+01   9.48279E+01
  1.45000E-01   0.00000E+00   0.00000E+00   1.02023E+02   5.06358E+01   9.46985E+01
  1.46000E-01   0.00000E+00   0.00000E+00   1.02025E+02   5.05531E+01   9.45711E+01
  1.47000E-01   0.00000E+00   0.00000E+00   1.02025E+02   5.04663E+01   9.44480E+01
  1.48000E-01   0.00000E+00   0.00000E+00   1.02024E+02   5.03758E+01   9.43305E+01
  1.49000E-01   0.00000E+00   0.00000E+00   1.02020E+02   5.02821E+01   9.42195E+01
  1.50000E-01   0.00000E+00   0.00000E+00   1.02013E+02   5.01855E+01   9.41161E+01
  1.51000E-01   0.00000E+00   0.00000E+00   1.02004E+02   5.00862E+01   9.40197E+01
  1.52000E-01   0.00000E+00   0.00000E+00   1.01992E+02   4.99838E+01   9.39297E+01
  1.53000E-01   0.00000E+00   0.00000E+00   1.01977E+02   4.98780E+01   9.38451E+01
  1.54000E-01   0.00000E+00   0.00000E+00   1.01960E+02   4.97687E+01   9.37645E+01
  1.55000E-01   0.00000E+00   0.00000E+00   1.01941E+02   4.96563E+01   9.36874E+01
  1.56000E-01   0.00000E+00   0.00000E+00   1.01919E+02   4.95408E+01   9.36134E+01
  1.57000E-01   0.00000E+00   0.00000E+00   1.01895E+02   4.94226E+01   9.35415E+01
  1.58000E-01   0.00000E+00   0.00000E+00   1.01869E+02   4.93017E+01   9.34709E+01
  1.59000E-01   0.00000E+00   0.00000E+00   1.01840E+02   4.91775E+01   9.34002E+01
  1.60000E-01   0.00000E+00   0.00000E+00   1.01810E+02   4.90501E+01   9.33282E+01
  1.61000E-01   0.00000E+00   0.00000E+00   1.01777E+02   4.89193E+01   9.32541E+01
  1.62000E-01   0.00000E+00   0.00000E+00   1.01743E+02   4.87853E+01   9.31778E+01
  1.63000E-01   0.00000E+00   0.00000E+00   1.01707E+02   4.86480E+01   9.31004E+01
  1.64000E-01   0.00000E+00   0.00000E+00   1.01670E+02   4.85067E+01   9.30229E+01
  1.65000E-01   0.00000E+00   0.00000E+00   1.01632E+02   4.83607E+01   9.29458E+01
  1.66000E-01   0.00000E+00   0.00000E+00   1.01594E+02   4.82092E+01   9.28678E+01
  1.67000E-01   0.00000E+00   0.00000E+00   1.01555E+02   4.80522E+01   9.27850E+01
  1.68000E-01   0.00000E+00   0.00000E+00   1.01517E+02   4.78904E+01   9.26941E+01
  1.69000E-01   0.00000E+00   0.00000E+00   1.01478E+02   4.77244E+01   9.25926E+01
  1.70000E-01   0.00000E+00   0.00000E+00   1.01440E+02   4.75547E+01   9.24801E+01
  1.71000E-01   0.00000E+00   0.00000E+00   1.01402E+02   4.73809E+01   9.23590E+01
  1.72000E-01   0.00000E+00   0.00000E+00   1.01366E+02   4.72023E+01   9.22320E+01
  1.73000E-01   0.00000E+00   0.00000E+00   1.01331E+02   4.70181E+01   9.21012E+01
  1.74000E-01   0.00000E+00   0.00000E+00   1.01296E+02   4.68283E+01   9.19671E+01
  1.75000E-01   0.00000E+00   0.00000E+00   1.01264E+02   4.66330E+01   9.18291E+01
  1.76000E-01   0.00000E+00   0.00000E+00   1.01233E+02   4.64324E+01   9.16855E+01
  1.77000E-01   0.00000E+00   0.00000E+00   1.01205E+02   4.62265E+01   9.15348E+01
  1.78000E-01   0.00000E+00   0.00000E+00   1.01180E+02   4.60147E+01   9.13763E+01
  1.79000E-01   0.00000E+00   0.00000E+00   1.01158E+02   4.57966E+01   9.12092E+01
  1.80000E-01   0.00000E+00   0.00000E+00   1.01140E+02   4.55721E+01   9.10340E+01
  1.81000E-01   0.00000E+00   0.00000E+00   1.01125E+02   4.53413E+01   9.08517E+01
  1.82000E-01   0.00000E+00   0.00000E+00   1.01116E+02   4.51047E+01   9.06646E+01
  1.83000E-01   0.00000E+00   0.00000E+00   1.01111E+02   4.48627E+01   9.04750E+01
  1.84000E-01   0.00000E+00   0.00000E+00   1.01111E+02   4.46150E+01   9.02839E+01
  1.85000E-01   0.00000E+00   0.00000E+00   1.01115E+02   4.43616E+01   9.00913E+01
  1.86000E-01   0.00000E+00   0.00000E+00   1.01124E+02   4.41020E+01   8.98954E+01
  1.87000E-01   0.00000E+00   0.00000E+00   1.01136E+02   4.38360E+01   8.96949E+01
  1.88000E-01   0.00000E+00   0.00000E+00   1.01153E+02   4.35635E+01   8.94895E+01
  1.89000E-01   0.00000E+00   0.00000E+00   1.01174E+02   4.32843E+01   8.92794E+01
  1.90000E-01   0.00000E+00   0.00000E+00   1.01200E+02   4.29985E+01   8.90660E+01
  1.91000E-01   0.00000E+00   0.00000E+00   1.01232E+02   4.27062E+01   8.88494E+01
  1.92000E-01   0.00000E+00   0.00000E+00   1.01268E+02   4.24074E+01   8.86291E+01
  1.93000E-01   0.00000E+00   0.00000E+00   1.01310E+02   4.21021E+01   8.84044E+01
  1.94000E-01   0.00000E+00   0.00000E+00   1.01359E+02   4.17904E+01   8.81744E+01
  1.95000E-01   0.00000E+00   0.00000E+00   1.01413E+02   4.14723E+01   8.79394E+01
  1.96000E-01   0.00000E+00   0.00000E+00   1.01475E+02   4.11481E+01   8.77003E+01
  1.97000E-01   0.00000E+00   0.00000E+00   1.01544E+02   4.08179E+01   8.74585E+01
  1.98000E-01   0.00000E+00   0.00000E+00   1.01619E+02   4.04816E+01   8.72152E+01
  1.99000E-01   0.00000E+00   0.00000E+00   1.01701E+02   4.01393E+01   8.69711E+01
  2.00000E-01   0.00000E+00   0.00000E+00   1.01791E+02   3.97912E+01   8.67268E+01
  2.01000E-01   0.00000E+00   0.00000E+00   1.01887E+02   3.94380E+01   8.64820E+01
  2.02000E-01   0.00000E+00   0.00000E+00   1.01990E+02   3.90807E+01   8.62363E+01
  2.03000E-01   0.00000E+00   0.00000E+00   1.02099E+02   3.87204E+01   8.59887E+01
  2.04000E-01   0.00000E+00   0.00000E+00   1.02212E+02   3.83578E+01   8.57383E+01
  2.05000E-01   0.00000E+00   0.00000E+00   1.02329E+02   3.79930E+01   8.54848E+01
  2.06000E-01   0.00000E+00   0.00000E+00   1.02451E+02   3.76261E+01   8.52283E+01
  2.07000E-01   0.00000E+00   0.00000E+00   1.02577E+02   3.72574E+01   8.49692E+01
  2.08000E-01   0.00000E+00   0.00000E+00   1.02709E+02   3.68876E+01   8.47083E+01
  2.09000E-01   0.00000E+00   0.00000E+00   1.02849E+02   3.65174E+01   8.44466E+01
  2.10000E-01   0.00000E+00   0.00000E+00   1.02996E+02   3.61475E+01   8.41852E+01
  2.11000E-01   0.00000E+00   0.00000E+00   1.03149E+02   3.57782E+01   8.39253E+01
  2.12000E-01   0.00000E+00   0.00000E+00   1.03307E+02   3.54099E+01   8.36680E+01
  2.13000E-01   0.00000E+00   0.00000E+00   1.03468E+02   3.50432E+01   8.34132E+01
  2.14000E-01   0.00000E+00   0.00000E+00   1.03631E+02   3.46791E+01   8.31607E+01
  2.15000E-01   0.00000E+00   0.00000E+00   1.03796E+02   3.43183E+01   8.29092E+01
  2.16000E-01   0.00000E+00   0.00000E+00   1.03964E+02   3.39617E+01   8.26582E+01
  2.17000E-01   0.00000E+00   0.00000E+00   1.04136E+02   3.36096E+01   8.24085E+01
  2.18000E-01   0.00000E+00   0.00000E+00   1.04312E+02   3.32625E+01   8.21614E+01
  2.19000E-01   0.00000E+00   0.00000E+00   1.04492E+02   3.29206E+01   8.19195E+01
  2.20000E-01   0.00000E+00   0.00000E+00   1.04676E+02   3.25847E+01   8.16851E+01
  2.21000E-01   0.00000E+00   0.00000E+00   1.04863E+02   3.22555E+01   8.14593E+01
  2.22000E-01   0.00000E+00   0.00000E+00   1.05053E+02   3.19336E+01   8.12425E+01
  2.23000E-01   0.00000E+00   0.00000E+00   1.05245E+02   3.16196E+01   8.10345E+01
  2.24000E-01   0.00000E+00   0.00000E+00   1.05438E+02   3.13137E+01   8.08343E+01
  2.25000E-01   0.00000E+00   0.00000E+00   1.05632E+02   3.10161E+01   8.06421E+01
  2.26000E-01   0.00000E+00   0.00000E+00   1.05827E+02   3.07275E+01   8.04578E+01
  2.27000E-01   0.00000E+00   0.00000E+00   1.06025E+02   3.04483E+01   8.02816E+01
  2.28000E-01   0.00000E+00   0.00000E+00   1.06225E+02   3.01792E+01   8.01135E+01
  2.29000E-01   0.00000E+00   0.00000E+00   1.06430E+02   2.99208E+01   7.99524E+01
  2.30000E-01   0.00000E+00   0.00000E+00   1.06639E+02   2.96734E+01   7.97975E+01
  2.31000E-01   0.00000E+00   0.00000E+00   1.06851E+02   2.94372E+01   7.96484E+01
  2.32000E-01   0.00000E+00   0.00000E+00   1.07063E+02   2.92122E+01   7.95050E+01
  2.33000E-01   0.00000E+00   0.00000E+00   1.07275E+02   2.89989E+01   7.93677E+01
  2.34000E-01   0.00000E+00   0.00000E+00   1.07486E+02   2.87975E+01   7.92367E+01
  2.35000E-01   0.00000E+00   0.00000E+00   1.07695E+02   2.86087E+01   7.91121E+01
  2.36000E-01   0.00000E+00   0.00000E+00   1.07904E+02   2.84326E+01   7.89938E+01
  2.37000E-01   0.00000E+00   0.00000E+00   1.08113E+02   2.82693E+01   7.88818E+01
