485,9,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0,84.66454,80.84025,158.6408,143.4992,47.11487,157.0739,118.64,108.374
0.001,84.64117,80.81519,157.8673,143.9285,46.54572,156.9066,118.4228,108.022
0.002,84.6165,80.79004,157.0882,144.3586,45.99213,156.7249,118.2055,107.6279
0.003,84.59048,80.76467,156.3036,144.7887,45.45428,156.5279,117.9879,107.1932
0.004,84.56311,80.73893,155.5132,145.218,44.93239,156.315,117.7701,106.7198
0.005,84.53438,80.71268,154.7171,145.6454,44.42665,156.0855,117.5519,106.2105
0.006,84.50429,80.68577,153.9152,146.0701,43.93727,155.8389,117.3334,105.6679
0.007,84.47287,80.65805,153.1073,146.4911,43.46447,155.575,117.1145,105.0954
0.008,84.44017,80.62938,152.2935,146.9076,43.00846,155.2934,116.8953,104.4961
0.009,84.40626,80.59962,151.4737,147.3187,42.56948,154.9941,116.6759,103.8734
0.01,84.37124,80.56864,150.6479,147.7236,42.14779,154.6771,116.4562,103.2307
0.011,84.33524,80.53633,149.816,148.1216,41.74366,154.3425,116.2365,102.5714
0.012,84.2984,80.5026,148.9781,148.5122,41.35737,153.9907,116.0167,101.8989
0.013,84.26091,80.46735,148.1344,148.8949,40.98925,153.6222,115.7971,101.2163
0.014,84.223,80.43053,147.2848,149.2692,40.6396,153.2375,115.5778,100.5268
0.015,84.18489,80.39211,146.4296,149.6352,40.30879,152.8376,115.3589,99.83323
0.016,84.14688,80.35208,145.569,149.9928,39.99717,152.4232,115.1407,99.13831
0.017,84.10925,80.31046,144.7033,150.3422,39.70512,151.9956,114.9232,98.44445
0.018,84.07232,80.26728,143.8328,150.6839,39.43301,151.5561,114.7066,97.75385
0.019,84.03644,80.22261,142.958,151.0184,39.18123,151.1062,114.4913,97.06847
0.02,84.00194,80.17656,142.0791,151.3464,38.95018,150.6475,114.2773,96.39005
0.021,83.96921,80.12923,141.1967,151.6691,38.74025,150.1817,114.065,95.72011
0.022,83.93859,80.08079,140.3113,151.9873,38.55183,149.7109,113.8544,95.06
0.023,83.91048,80.03141,139.4235,152.3026,38.38531,149.2369,113.646,94.41091
0.024,83.88522,79.9813,138.5339,152.6161,38.24105,148.7619,113.4398,93.77388
0.025,83.8632,79.93069,137.6431,152.9296,38.11941,148.2879,113.2362,93.1498
0.026,83.84474,79.87984,136.752,153.2446,38.02073,147.8173,113.0354,92.53946
0.027,83.83019,79.82904,135.861,153.5627,37.94532,147.3521,112.8375,91.94353
0.028,83.81985,79.77858,134.9712,153.8858,37.89345,146.8946,112.6428,91.3626
0.029,83.814,79.7288,134.0832,154.2157,37.86536,146.4468,112.4514,90.79714
0.03,83.81288,79.68003,133.1978,154.5541,37.86124,146.0109,112.2635,90.24756
0.031,83.81671,79.63263,132.3159,154.9027,37.88124,145.5887,112.0793,89.71422
0.032,83.82568,79.58696,131.4382,155.2633,37.92545,145.1823,111.8988,89.1974
0.033,83.83991,79.5434,130.5657,155.6375,37.99391,144.7932,111.7222,88.69734
0.034,83.85951,79.50231,129.699,156.0267,38.08661,144.4231,111.5494,88.21426
0.035,83.88454,79.46408,128.8392,156.4324,38.20346,144.0733,111.3804,87.74834
0.036,83.91499,79.42906,127.9869,156.8558,38.34434,143.745,111.2151,87.29977
0.037,83.95086,79.39762,127.143,157.2979,38.50903,143.4392,111.0535,86.86873
0.038,83.99205,79.37013,126.3083,157.7596,38.69728,143.1566,110.8955,86.45541
0.039,84.03848,79.34693,125.4835,158.2416,38.90879,142.8979,110.7408,86.06004
0.04,84.08998,79.32836,124.6695,158.7445,39.14317,142.6635,110.5892,85.68287
0.041,84.1464,79.31474,123.867,159.2687,39.40002,142.4536,110.4404,85.32421
0.042,84.2075,79.30639,123.0768,159.8144,39.67885,142.2684,110.2943,84.98443
0.043,84.27307,79.30362,122.2995,160.3816,39.97917,142.1078,110.1504,84.66396
0.044,84.34283,79.30669,121.5359,160.9702,40.30042,141.9717,110.0085,84.36332
0.045,84.41651,79.31587,120.7868,161.5802,40.64202,141.86,109.8682,84.08312
0.046,84.4938,79.33141,120.0526,162.211,41.00338,141.7725,109.7292,83.82405
0.047,84.57438,79.35353,119.3342,162.8624,41.38386,141.7087,109.5911,83.58691
0.048,84.65794,79.38243,118.632,163.5339,41.78283,141.6686,109.4536,83.3726
0.049,84.74415,79.41828,117.9467,164.2248,42.19965,141.6518,109.3165,83.18213
0.05,84.83266,79.46123,117.2789,164.9345,42.63366,141.6581,109.1793,83.0166
0.051,84.92315,79.51142,116.629,165.6624,43.08421,141.6873,109.0418,82.87724
0.052,85.01529,79.56893,115.9976,166.4077,43.55067,141.7392,108.9039,82.76537
0.053,85.10877,79.63384,115.385,167.1697,44.03242,141.8138,108.7652,82.6824
0.054,85.20325,79.70619,114.7917,167.9477,44.52884,141.9111,108.6258,82.62984
0.055,85.29845,79.78597,114.2179,168.7409,45.03935,142.0309,108.4856,82.60928
0.056,85.39407,79.87316,113.664,169.5485,45.56339,142.1735,108.3446,82.62239
0.057,85.48982,79.9677,113.1301,170.3697,46.10043,142.3388,108.2029,82.67087
0.058,85.58545,80.06948,112.6164,171.2037,46.64994,142.527,108.0607,82.75652
0.059,85.68069,80.17837,112.1229,172.0498,47.21142,142.7382,107.9182,82.88115
0.06,85.77528,80.29419,111.6496,172.907,47.78442,142.9725,107.7756,83.0466
0.061,85.86901,80.41673,111.1964,173.7746,48.36847,143.2302,107.6332,83.25473
0.062,85.96164,80.54573,110.763,174.6517,48.96315,143.5111,107.4914,83.50742
0.063,86.05297,80.68091,110.3493,175.5375,49.56805,143.8154,107.3506,83.8065
0.064,86.14278,80.82194,109.9548,176.431,50.1828,144.1431,107.2111,84.1538
0.065,86.2309,80.96849,109.5791,177.3313,50.80703,144.494,107.0735,84.55111
0.066,86.31714,81.12016,109.2219,178.2377,51.44042,144.8678,106.9381,85.00013
0.067,86.40131,81.27656,108.8825,179.149,52.08267,145.2643,106.8055,85.5025
0.068,86.48327,81.43725,108.5603,180.0645,52.73347,145.683,106.6762,86.05974
0.069,86.56286,81.60179,108.2548,180.983,53.39257,146.1232,106.5505,86.67326
0.07,86.6399,81.76971,107.9652,181.9035,54.05969,146.5841,106.4289,87.34432
0.071,86.71427,81.94053,107.6909,182.8251,54.7346,147.0649,106.3118,88.07402
0.072,86.78581,82.11376,107.4312,183.7466,55.41707,147.5644,106.1996,88.86325
0.073,86.85438,82.2889,107.1852,184.6669,56.10687,148.0812,106.0925,89.71272
0.074,86.91984,82.46543,106.9523,185.5849,56.80379,148.614,105.991,90.62289
0.075,86.98205,82.64283,106.7317,186.4993,57.50764,149.1611,105.8952,91.59394
0.076,87.04089,82.82058,106.5225,187.409,58.21823,149.7207,105.8055,92.62576
0.077,87.09623,82.99815,106.324,188.3127,58.93538,150.2911,105.722,93.71791
0.078,87.14795,83.17501,106.1354,189.2091,59.65893,150.87,105.6448,94.86956
0.079,87.19594,83.35064,105.956,190.0969,60.3887,151.4554,105.5741,96.07946
0.08,87.2401,83.52452,105.7849,190.975,61.12456,152.045,105.5099,97.34591
0.081,87.28036,83.69614,105.6216,191.8419,61.86637,152.6365,105.4522,98.66668
0.082,87.31665,83.865,105.4653,192.6965,62.61398,153.2276,105.4009,100.039
0.083,87.34892,84.03064,105.3153,193.5374,63.36729,153.8159,105.3558,101.4596
0.084,87.37714,84.19259,105.1711,194.3635,64.12619,154.3989,105.3168,102.9245
0.085,87.40131,84.3504,105.0321,195.1737,64.89061,154.9742,105.2836,104.4292
0.086,87.42146,84.50367,104.8979,195.9668,65.66048,155.5394,105.2559,105.9685
0.087,87.43763,84.652,104.7679,196.7417,66.43576,156.0923,105.2334,107.5369
0.088,87.4499,84.79504,104.6419,197.4975,67.21644,156.6304,105.2158,109.128
0.089,87.45837,84.93245,104.5194,198.2332,68.00253,157.1517,105.2026,110.7352
0.09,87.46316,85.06394,104.4003,198.9481,68.79404,157.6538,105.1934,112.3515
0.091,87.46444,85.18922,104.2843,199.6413,69.59104,158.1348,105.1877,113.9694
0.092,87.46237,85.30807,104.1714,200.3122,70.39362,158.5928,105.1851,115.5815
0.093,87.45716,85.42028,104.0613,200.9602,71.20186,159.0257,105.185,117.1803
0.094,87.44904,85.52568,103.9541,201.5847,72.0159,159.432,105.1869,118.7581
0.095,87.43824,85.62411,103.8499,202.1852,72.8359,159.8099,105.1903,120.3077
0.096,87.42501,85.71549,103.7487,202.7615,73.66204,160.1579,105.1949,121.822
0.097,87.40963,85.79972,103.6506,203.3132,74.49451,160.4745,105.2,123.2943
0.098,87.39236,85.87676,103.5558,203.84,75.33354,160.7583,105.2053,124.7185
0.099,87.37348,85.94661,103.4647,204.3417,76.17938,161.0081,105.2104,126.089
0.1,87.35327,86.00927,103.3774,204.8183,77.03229,161.2227,105.2148,127.4008
0.101,87.33199,86.06479,103.2943,205.2697,77.89254,161.401,105.2183,128.6495
0.102,87.30992,86.11325,103.2157,205.6958,78.76043,161.5421,105.2205,129.8314
0.103,87.2873,86.15473,103.1422,206.0968,79.63626,161.6452,105.2212,130.9437
0.104,87.26437,86.18938,103.074,206.4726,80.52034,161.7093,105.2201,131.9842
0.105,87.24136,86.21733,103.0118,206.8234,81.41299,161.7339,105.2172,132.9516
0.106,87.21846,86.23875,102.9558,207.1494,82.31453,161.7185,105.2122,133.8452
0.107,87.19585,86.25383,102.9068,207.4508,83.22526,161.6625,105.2052,134.6652
0.108,87.17369,86.26277,102.8652,207.7278,84.14551,161.5658,105.196,135.4124
0.109,87.15212,86.26579,102.8315,207.9806,85.07557,161.4282,105.1847,136.0883
0.11,87.13123,86.26311,102.8062,208.2097,86.01572,161.2496,105.1713,136.6946
0.111,87.11111,86.25496,102.7899,208.4153,86.96623,161.0301,105.1559,137.2339
0.112,87.09183,86.24157,102.783,208.5979,87.92734,160.77,105.1386,137.709
0.113,87.07343,86.2232,102.786,208.7576,88.89926,160.4697,105.1195,138.1228
0.114,87.05592,86.20008,102.7993,208.8951,89.88216,160.1296,105.0986,138.4788
0.115,87.03932,86.17246,102.8235,209.0107,90.8762,159.7504,105.0762,138.7802
0.116,87.02358,86.14058,102.8588,209.1049,91.88148,159.3328,105.0524,139.0308
0.117,87.00869,86.10471,102.9056,209.1783,92.89806,158.8776,105.0272,139.2342
0.118,86.9946,86.06508,102.9642,209.2312,93.92597,158.3859,105.0009,139.3938
0.119,86.98123,86.02194,103.035,209.2643,94.96518,157.8586,104.9735,139.5135
0.12,86.96851,85.97555,103.1182,209.2782,96.01562,157.2969,104.9451,139.5969
0.121,86.95636,85.92616,103.2138,209.2735,97.07717,156.702,104.916,139.6476
0.122,86.94468,85.87401,103.3223,209.2508,98.14966,156.0751,104.8861,139.6691
0.123,86.93337,85.81935,103.4435,209.2107,99.23286,155.4175,104.8555,139.6651
0.124,86.92232,85.76243,103.5777,209.154,100.3265,154.7307,104.8244,139.639
0.125,86.91142,85.7035,103.7248,209.0813,101.4302,154.016,104.7926,139.5943
0.126,86.90057,85.6428,103.8849,208.9933,102.5436,153.2749,104.7603,139.5343
0.127,86.88963,85.58057,104.0579,208.8907,103.6662,152.5088,104.7275,139.4621
0.128,86.87852,85.51704,104.2438,208.7744,104.7976,151.7191,104.694,139.3807
0.129,86.8671,85.45246,104.4425,208.645,105.9372,150.9074,104.6599,139.2929
0.13,86.85528,85.38706,104.6537,208.5032,107.0843,150.075,104.6251,139.2012
0.131,86.84296,85.32105,104.8774,208.3497,108.2383,149.2234,104.5896,139.108
0.132,86.83005,85.25468,105.1133,208.1854,109.3984,148.3539,104.5531,139.0152
0.133,86.81644,85.18814,105.3612,208.011,110.564,147.468,104.5156,138.9248
0.134,86.80207,85.12167,105.6208,207.8271,111.7342,146.5669,104.4771,138.8381
0.135,86.78686,85.05546,105.8917,207.6345,112.9082,145.6519,104.4373,138.7565
0.136,86.77075,84.98972,106.1737,207.4338,114.0851,144.7243,104.3963,138.6809
0.137,86.75369,84.92466,106.4664,207.2259,115.2641,143.7853,104.3538,138.6122
0.138,86.73562,84.86045,106.7695,207.0112,116.4441,142.836,104.3099,138.5507
0.139,86.71652,84.79728,107.0825,206.7905,117.6243,141.8774,104.2645,138.4968
0.14,86.69635,84.73533,107.405,206.5645,118.8038,140.9107,104.2176,138.4505
0.141,86.67509,84.67476,107.7367,206.3336,119.9816,139.9367,104.1692,138.4118
0.142,86.65274,84.61573,108.077,206.0984,121.1568,138.9563,104.1193,138.3802
0.143,86.6293,84.55838,108.4257,205.8596,122.3285,137.9705,104.068,138.3554
0.144,86.60476,84.50285,108.7822,205.6176,123.4958,136.98,104.0155,138.3367
0.145,86.57916,84.44927,109.1462,205.3728,124.6579,135.9855,103.9619,138.3234
0.146,86.55251,84.39776,109.5173,205.1258,125.8138,134.9877,103.9075,138.3147
0.147,86.52485,84.34843,109.895,204.877,126.9627,133.9873,103.8525,138.3096
0.148,86.49622,84.30138,110.2789,204.6266,128.1039,132.9847,103.7972,138.3072
0.149,86.46666,84.25669,110.6688,204.3751,129.2365,131.9806,103.742,138.3065
0.15,86.43623,84.21445,111.0642,204.1228,130.3598,130.9753,103.6872,138.3065
0.151,86.40499,84.17471,111.4649,203.8699,131.4731,129.9694,103.6333,138.3062
0.152,86.37299,84.13755,111.8703,203.6167,132.5756,128.9632,103.5808,138.3045
0.153,86.34031,84.10299,112.2803,203.3634,133.6667,127.9571,103.5301,138.3004
0.154,86.30701,84.07108,112.6946,203.1101,134.7457,126.9513,103.4817,138.2932
0.155,86.27317,84.04184,113.1128,202.857,135.812,125.9462,103.4363,138.2817
0.156,86.23884,84.01528,113.5346,202.6041,136.8649,124.942,103.3943,138.2654
0.157,86.2041,83.9914,113.9598,202.3515,137.9038,123.9389,103.3562,138.2433
0.158,86.16901,83.97018,114.3881,202.0993,138.9281,122.9371,103.3226,138.2149
0.159,86.13363,83.9516,114.8191,201.8474,139.9372,121.9367,103.2941,138.1795
0.16,86.09802,83.93562,115.2528,201.5958,140.9306,120.938,103.2709,138.1366
0.161,86.06222,83.92219,115.6886,201.3444,141.9076,119.941,103.2537,138.0858
0.162,86.02628,83.91126,116.1265,201.0932,142.8675,118.9457,103.2427,138.0267
0.163,85.99025,83.90275,116.5661,200.842,143.81,117.9524,103.2383,137.9589
0.164,85.95415,83.89659,117.0071,200.5907,144.7342,116.9611,103.2408,137.8824
0.165,85.91801,83.89269,117.4492,200.3392,145.6398,115.9717,103.2502,137.7969
0.166,85.88186,83.89096,117.8922,200.0871,146.5259,114.9844,103.2668,137.7024
0.167,85.84572,83.89129,118.3357,199.8343,147.3921,113.9992,103.2906,137.5989
0.168,85.8096,83.89356,118.7795,199.5807,148.2378,113.0161,103.3214,137.4865
0.169,85.7735,83.89767,119.2231,199.3258,149.0623,112.0351,103.3592,137.3652
0.17,85.73743,83.90349,119.6663,199.0696,149.865,111.0562,103.4037,137.2353
0.171,85.70138,83.91089,120.1088,198.8117,150.6454,110.0794,103.4546,137.097
0.172,85.66535,83.91973,120.5501,198.5517,151.4028,109.1046,103.5116,136.9505
0.173,85.62932,83.92989,120.99,198.2895,152.1368,108.132,103.5743,136.7961
0.174,85.59329,83.94121,121.4281,198.0248,152.8466,107.1614,103.6422,136.6342
0.175,85.55723,83.95356,121.864,197.7571,153.5319,106.1928,103.7147,136.4651
0.176,85.52113,83.9668,122.2973,197.4863,154.192,105.2262,103.7914,136.289
0.177,85.48495,83.98078,122.7278,197.212,154.8264,104.2616,103.8717,136.1065
0.178,85.44869,83.99536,123.155,196.9338,155.4346,103.299,103.9551,135.9179
0.179,85.41231,84.0104,123.5785,196.6516,156.0163,102.3384,104.0411,135.7234
0.18,85.37579,84.02576,123.9981,196.365,156.5709,101.3797,104.1291,135.5236
0.181,85.3391,84.0413,124.4134,196.0737,157.0981,100.4229,104.2187,135.3187
0.182,85.30223,84.0569,124.8241,195.7774,157.5976,99.46812,104.3094,135.1091
0.183,85.26515,84.07242,125.2298,195.4758,158.0689,98.51523,104.4009,134.8952
0.184,85.22784,84.08774,125.6303,195.1688,158.512,97.56428,104.4928,134.6772
0.185,85.19029,84.10275,126.0253,194.8559,158.9266,96.61529,104.5849,134.4555
0.186,85.15248,84.11732,126.4145,194.5371,159.3126,95.66828,104.6768,134.2303
0.187,85.1144,84.13136,126.7978,194.212,159.6698,94.72327,104.7685,134.0019
0.188,85.07605,84.14477,127.175,193.8805,159.9983,93.78029,104.8598,133.7705
0.189,85.03742,84.15745,127.5458,193.5423,160.2981,92.83941,104.9506,133.5364
0.19,84.9985,84.16931,127.9101,193.1972,160.5692,91.90066,105.0408,133.2997
0.191,84.9593,84.18028,128.2678,192.8451,160.8119,90.96412,105.1305,133.0606
0.192,84.91981,84.19029,128.6189,192.4858,161.0263,90.02985,105.2195,132.8192
0.193,84.88004,84.19925,128.9632,192.1192,161.2127,89.09794,105.308,132.5757
0.194,84.83999,84.20713,129.3009,191.7451,161.3715,88.16851,105.396,132.3302
0.195,84.79969,84.21386,129.6318,191.3634,161.503,87.24165,105.4835,132.0827
0.196,84.75913,84.2194,129.956,190.974,161.6078,86.31751,105.5706,131.8334
0.197,84.71835,84.22372,130.2738,190.5769,161.6863,85.39623,105.6574,131.5823
0.198,84.67735,84.22678,130.5851,190.1718,161.7393,84.47797,105.744,131.3294
0.199,84.63615,84.22858,130.8901,189.7589,161.7673,83.5629,105.8305,131.0748
0.2,84.59479,84.2291,131.1892,189.338,161.7711,82.65122,105.917,130.8184
0.201,84.55328,84.22833,131.4825,188.9092,161.7516,81.74313,106.0037,130.5604
0.202,84.51165,84.22629,131.7704,188.4723,161.7096,80.83886,106.0906,130.3008
0.203,84.46993,84.22299,132.0532,188.0275,161.6461,79.93864,106.178,130.0395
0.204,84.42815,84.21844,132.3313,187.5747,161.5622,79.04273,106.266,129.7766
0.205,84.38634,84.21267,132.6052,187.114,161.459,78.15138,106.3549,129.5121
0.206,84.34454,84.20574,132.8753,186.6454,161.3376,77.26488,106.4447,129.2461
0.207,84.30278,84.19767,133.1421,186.169,161.1993,76.3835,106.5357,128.9785
0.208,84.2611,84.18852,133.4061,185.6848,161.0453,75.50753,106.6282,128.7095
