 485   9
    Time           RX            RY        LHipAngles    LKneeAngles   HAT2Angles   LAnkle2Angles     WBCMY        WBCMVy    
  0.00000E+00   2.91341E+01   2.22160E+02   1.47055E+02   1.55132E+02   1.18558E+02  -3.79715E+01   1.01905E+00  -7.13816E-01
  1.00000E-03  -3.62833E+00   4.90486E+02   1.47460E+02   1.54941E+02   1.18339E+02  -4.12324E+01   1.01834E+00  -7.13127E-01
  2.00000E-03  -7.55880E+01   7.80457E+02   1.47865E+02   1.54736E+02   1.18120E+02  -4.44956E+01   1.01762E+00  -7.11281E-01
  3.00000E-03  -1.92472E+02   1.03583E+03   1.48270E+02   1.54517E+02   1.17901E+02  -4.77526E+01   1.01691E+00  -7.08220E-01
  4.00000E-03  -3.51917E+02   1.21025E+03   1.48673E+02   1.54283E+02   1.17681E+02  -5.09922E+01   1.01620E+00  -7.03890E-01
  5.00000E-03  -5.42290E+02   1.29088E+03   1.49073E+02   1.54035E+02   1.17461E+02  -5.42006E+01   1.01550E+00  -6.98240E-01
  6.00000E-03  -7.43597E+02   1.30976E+03   1.49470E+02   1.53770E+02   1.17240E+02  -5.73616E+01   1.01480E+00  -6.91225E-01
  7.00000E-03  -9.30698E+02   1.33399E+03   1.49863E+02   1.53489E+02   1.17020E+02  -6.04567E+01   1.01411E+00  -6.82808E-01
  8.00000E-03  -1.07823E+03   1.43662E+03   1.50250E+02   1.53193E+02   1.16798E+02  -6.34656E+01   1.01343E+00  -6.72961E-01
  9.00000E-03  -1.16566E+03   1.66171E+03   1.50632E+02   1.52880E+02   1.16577E+02  -6.63662E+01   1.01276E+00  -6.61667E-01
  1.00000E-02  -1.18084E+03   2.00132E+03   1.51007E+02   1.52551E+02   1.16356E+02  -6.91349E+01   1.01210E+00  -6.48923E-01
  1.10000E-02  -1.12144E+03   2.39693E+03   1.51375E+02   1.52206E+02   1.16134E+02  -7.17469E+01   1.01145E+00  -6.34737E-01
  1.20000E-02  -9.94753E+02   2.76510E+03   1.51734E+02   1.51845E+02   1.15913E+02  -7.41762E+01   1.01082E+00  -6.19133E-01
  1.30000E-02  -8.16631E+02   3.03439E+03   1.52085E+02   1.51469E+02   1.15692E+02  -7.63965E+01   1.01021E+00  -6.02147E-01
  1.40000E-02  -6.09572E+02   3.17539E+03   1.52428E+02   1.51077E+02   1.15471E+02  -7.83813E+01   1.00961E+00  -5.83827E-01
  1.50000E-02  -3.99860E+02   3.20966E+03   1.52761E+02   1.50671E+02   1.15251E+02  -8.01052E+01   1.00903E+00  -5.64233E-01
  1.60000E-02  -2.14000E+02   3.19552E+03   1.53086E+02   1.50250E+02   1.15031E+02  -8.15444E+01   1.00847E+00  -5.43432E-01
  1.70000E-02  -7.52953E+01   3.19956E+03   1.53401E+02   1.49816E+02   1.14812E+02  -8.26765E+01   1.00794E+00  -5.21496E-01
  1.80000E-02  -1.14003E+00   3.26817E+03   1.53709E+02   1.49370E+02   1.14595E+02  -8.34810E+01   1.00743E+00  -4.98505E-01
  1.90000E-02  -9.20133E-01   3.41054E+03   1.54009E+02   1.48913E+02   1.14378E+02  -8.39386E+01   1.00694E+00  -4.74537E-01
  2.00000E-02  -7.41317E+01   3.59823E+03   1.54302E+02   1.48446E+02   1.14163E+02  -8.40309E+01   1.00647E+00  -4.49675E-01
  2.10000E-02  -2.08868E+02   3.77903E+03   1.54589E+02   1.47970E+02   1.13950E+02  -8.37409E+01   1.00603E+00  -4.23997E-01
  2.20000E-02  -3.81599E+02   3.89862E+03   1.54871E+02   1.47487E+02   1.13739E+02  -8.30532E+01   1.00562E+00  -3.97583E-01
  2.30000E-02  -5.59498E+02   3.92119E+03   1.55150E+02   1.46999E+02   1.13529E+02  -8.19547E+01   1.00523E+00  -3.70512E-01
  2.40000E-02  -7.05940E+02   3.84237E+03   1.55426E+02   1.46508E+02   1.13322E+02  -8.04346E+01   1.00487E+00  -3.42858E-01
  2.50000E-02  -7.88469E+02   3.69012E+03   1.55702E+02   1.46014E+02   1.13117E+02  -7.84857E+01   1.00454E+00  -3.14696E-01
  2.60000E-02  -7.87160E+02   3.51410E+03   1.55979E+02   1.45521E+02   1.12915E+02  -7.61041E+01   1.00424E+00  -2.86100E-01
  2.70000E-02  -7.00727E+02   3.36722E+03   1.56259E+02   1.45030E+02   1.12716E+02  -7.32900E+01   1.00397E+00  -2.57143E-01
  2.80000E-02  -5.48046E+02   3.28631E+03   1.56543E+02   1.44544E+02   1.12520E+02  -7.00490E+01   1.00372E+00  -2.27894E-01
  2.90000E-02  -3.64134E+02   3.27933E+03   1.56833E+02   1.44064E+02   1.12326E+02  -6.63926E+01   1.00351E+00  -1.98424E-01
  3.00000E-02  -1.91341E+02   3.32389E+03   1.57131E+02   1.43593E+02   1.12136E+02  -6.23395E+01   1.00332E+00  -1.68803E-01
  3.10000E-02  -6.82208E+01   3.37754E+03   1.57438E+02   1.43132E+02   1.11949E+02  -5.79156E+01   1.00317E+00  -1.39099E-01
  3.20000E-02  -1.93518E+01   3.39528E+03   1.57757E+02   1.42684E+02   1.11766E+02  -5.31538E+01   1.00304E+00  -1.09380E-01
  3.30000E-02  -4.91998E+01   3.34693E+03   1.58088E+02   1.42250E+02   1.11586E+02  -4.80931E+01   1.00295E+00  -7.97142E-02
  3.40000E-02  -1.41885E+02   3.22738E+03   1.58434E+02   1.41832E+02   1.11409E+02  -4.27770E+01   1.00288E+00  -5.01665E-02
  3.50000E-02  -2.66830E+02   3.05641E+03   1.58795E+02   1.41433E+02   1.11236E+02  -3.72525E+01   1.00285E+00  -2.08018E-02
  3.60000E-02  -3.88267E+02   2.86926E+03   1.59173E+02   1.41052E+02   1.11065E+02  -3.15679E+01   1.00284E+00   8.31746E-03
  3.70000E-02  -4.75345E+02   2.70285E+03   1.59570E+02   1.40692E+02   1.10898E+02  -2.57722E+01   1.00286E+00   3.71317E-02
  3.80000E-02  -5.09564E+02   2.58347E+03   1.59985E+02   1.40355E+02   1.10735E+02  -1.99146E+01   1.00292E+00   6.55848E-02
