485,9,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0,85.19755,81.45123,159.2517,144.1102,47.11487,157.0739,118.64,108.374
0.001,85.17518,81.42708,158.4792,144.5404,46.54572,156.9066,118.4228,108.022
0.002,85.15144,81.40272,157.7009,144.9713,45.99213,156.7249,118.2055,107.6279
0.003,85.12628,81.37802,156.9169,145.4021,45.45428,156.5279,117.9879,107.1932
0.004,85.0997,81.35285,156.1271,145.8319,44.93239,156.315,117.7701,106.7198
0.005,85.07168,81.32704,155.3315,146.2597,44.42665,156.0855,117.5519,106.2105
0.006,85.04223,81.30047,154.5299,146.6848,43.93727,155.8389,117.3334,105.6679
0.007,85.01137,81.27298,153.7223,147.106,43.46447,155.575,117.1145,105.0954
0.008,84.97915,81.24443,152.9086,147.5226,43.00846,155.2934,116.8953,104.4961
0.009,84.94565,81.21469,152.0888,147.9337,42.56948,154.9941,116.6759,103.8734
0.01,84.91094,81.18364,151.2629,148.3386,42.14779,154.6771,116.4562,103.2307
0.011,84.87516,81.15115,150.4308,148.7365,41.74366,154.3425,116.2365,102.5714
0.012,84.83846,81.11713,149.5927,149.1268,41.35737,153.9907,116.0167,101.8989
0.013,84.80101,81.0815,148.7485,149.509,40.98925,153.6222,115.7971,101.2163
0.014,84.76302,81.04421,147.8985,149.8829,40.6396,153.2375,115.5778,100.5268
0.015,84.72473,81.00523,147.0427,150.2483,40.30879,152.8376,115.3589,99.83323
0.016,84.68642,80.96453,146.1815,150.6053,39.99717,152.4232,115.1407,99.13831
0.017,84.64836,80.92215,145.315,150.9539,39.70512,151.9956,114.9232,98.44445
0.018,84.61088,80.87812,144.4437,151.2947,39.43301,151.5561,114.7066,97.75385
0.019,84.57429,80.8325,143.5678,151.6283,39.18123,151.1062,114.4913,97.06847
0.02,84.53895,80.78539,142.6879,151.9553,38.95018,150.6475,114.2773,96.39005
0.021,84.5052,80.73691,141.8044,152.2767,38.74025,150.1817,114.065,95.72011
0.022,84.47342,80.68721,140.9177,152.5938,38.55183,149.7109,113.8544,95.06
0.023,84.44396,80.63646,140.0286,152.9076,38.38531,149.2369,113.646,94.41091
0.024,84.41718,80.58487,139.1375,153.2197,38.24105,148.7619,113.4398,93.77388
0.025,84.39345,80.53267,138.2451,153.5316,38.11941,148.2879,113.2362,93.1498
0.026,84.37309,80.48011,137.3522,153.8448,38.02073,147.8173,113.0354,92.53946
0.027,84.35644,80.42748,136.4595,154.1612,37.94532,147.3521,112.8375,91.94353
0.028,84.3438,80.37506,135.5677,154.4823,37.89345,146.8946,112.6428,91.3626
0.029,84.33545,80.32318,134.6776,154.8101,37.86536,146.4468,112.4514,90.79714
0.03,84.33163,80.27218,133.7899,155.1462,37.86124,146.0109,112.2635,90.24756
0.031,84.33255,80.22242,132.9056,155.4925,37.88124,145.5887,112.0793,89.71422
0.032,84.33839,80.17423,132.0255,155.8506,37.92545,145.1823,111.8988,89.1974
0.033,84.34931,80.12801,131.1503,156.2221,37.99391,144.7932,111.7222,88.69734
0.034,84.36538,80.08411,130.2808,156.6085,38.08661,144.4231,111.5494,88.21426
0.035,84.38668,80.0429,129.418,157.0112,38.20346,144.0733,111.3804,87.74834
0.036,84.41322,80.00476,128.5626,157.4315,38.34434,143.745,111.2151,87.29977
0.037,84.44498,79.97004,127.7154,157.8703,38.50903,143.4392,111.0535,86.86873
0.038,84.4819,79.9391,126.8773,158.3286,38.69728,143.1566,110.8955,86.45541
0.039,84.52387,79.91229,126.0489,158.807,38.90879,142.8979,110.7408,86.06004
0.04,84.57075,79.88995,125.2311,159.3061,39.14317,142.6635,110.5892,85.68287
0.041,84.62239,79.8724,124.4247,159.8264,39.40002,142.4536,110.4404,85.32421
0.042,84.67857,79.85995,123.6303,160.3679,39.67885,142.2684,110.2943,84.98443
0.043,84.73908,79.8529,122.8488,160.9309,39.97917,142.1078,110.1504,84.66396
0.044,84.80365,79.85154,122.0808,161.5151,40.30042,141.9717,110.0085,84.36332
0.045,84.87203,79.85613,121.327,162.1204,40.64202,141.86,109.8682,84.08312
