4841,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0,85.19755,81.45123,159.2517,144.1102,47.11487,157.0739,131.1488,120.5016,136.0275,143.5631
0.0001,85.19538,81.44882,159.1747,144.1531,47.05726,157.0578,131.1251,120.4364,136.0322,143.6693
0.0002,85.19319,81.44641,159.0977,144.1961,46.99981,157.0416,131.1015,120.3709,136.0369,143.7753
0.0003,85.19098,81.44399,159.0206,144.2391,46.94251,157.0252,131.0779,120.3049,136.0416,143.8813
0.0004,85.18877,81.44158,158.9434,144.2821,46.88536,157.0087,131.0543,120.2385,136.0463,143.9873
0.0005,85.18654,81.43917,158.8662,144.3251,46.82837,156.992,131.0306,120.1718,136.0509,144.0932
0.0006,85.18429,81.43675,158.7889,144.3682,46.77153,156.9752,131.007,120.1046,136.0556,144.1989
0.0007,85.18204,81.43434,158.7115,144.4112,46.71484,156.9583,130.9834,120.037,136.0603,144.3046
0.0008,85.17977,81.43192,158.6341,144.4542,46.65832,156.9412,130.9598,119.969,136.0649,144.4102
0.0009,85.17748,81.4295,158.5567,144.4973,46.60194,156.924,130.9362,119.9006,136.0695,144.5157
0.001,85.17518,81.42708,158.4792,144.5404,46.54572,156.9066,130.9126,119.8318,136.0742,144.6211
0.0011,85.17287,81.42465,158.4016,144.5834,46.48966,156.8891,130.889,119.7626,136.0788,144.7264
0.0012,85.17054,81.42222,158.324,144.6265,46.43375,156.8714,130.8654,119.693,136.0834,144.8315
0.0013,85.1682,81.4198,158.2463,144.6696,46.378,156.8536,130.8418,119.6231,136.088,144.9365
0.0014,85.16585,81.41737,158.1686,144.7127,46.32241,156.8357,130.8182,119.5528,136.0926,145.0413
0.0015,85.16348,81.41493,158.0908,144.7558,46.26697,156.8176,130.7946,119.4821,136.0972,145.146
0.0016,85.1611,81.41249,158.0129,144.7989,46.21169,156.7994,130.771,119.411,136.1018,145.2506
0.0017,85.15871,81.41006,157.935,144.842,46.15656,156.781,130.7474,119.3395,136.1064,145.3549
0.0018,85.1563,81.40761,157.857,144.8851,46.10159,156.7624,130.7238,119.2677,136.1109,145.4591
0.0019,85.15387,81.40517,157.779,144.9282,46.04678,156.7437,130.7002,119.1956,136.1155,145.5631
0.002,85.15144,81.40272,157.7009,144.9713,45.99213,156.7249,130.6766,119.1231,136.12,145.6669
0.0021,85.14898,81.40027,157.6228,145.0144,45.93763,156.7059,130.653,119.0502,136.1245,145.7705
0.0022,85.14652,81.39781,157.5446,145.0575,45.88329,156.6867,130.6294,118.977,136.1291,145.8739
0.0023,85.14404,81.39535,157.4663,145.1006,45.82911,156.6674,130.6059,118.9034,136.1336,145.977
0.0024,85.14154,81.39289,157.388,145.1437,45.77509,156.648,130.5823,118.8295,136.1381,146.08
0.0025,85.13904,81.39042,157.3096,145.1868,45.72122,156.6284,130.5587,118.7553,136.1426,146.1827
0.0026,85.13651,81.38795,157.2312,145.2298,45.66752,156.6086,130.5351,118.6807,136.1471,146.2852
0.0027,85.13398,81.38548,157.1527,145.2729,45.61397,156.5887,130.5115,118.6058,136.1515,146.3874
0.0028,85.13143,81.383,157.0742,145.316,45.56058,156.5686,130.488,118.5306,136.156,146.4894
0.0029,85.12886,81.38051,156.9956,145.359,45.50735,156.5483,130.4644,118.455,136.1604,146.5911
0.003,85.12628,81.37802,156.9169,145.4021,45.45428,156.5279,130.4408,118.3792,136.1649,146.6926
0.0031,85.12369,81.37553,156.8382,145.4451,45.40137,156.5074,130.4172,118.303,136.1693,146.7938
0.0032,85.12108,81.37303,156.7594,145.4882,45.34862,156.4866,130.3937,118.2265,136.1737,146.8947
0.0033,85.11846,81.37053,156.6806,145.5312,45.29603,156.4657,130.3701,118.1497,136.1782,146.9953
0.0034,85.11582,81.36802,156.6017,145.5742,45.2436,156.4447,130.3465,118.0727,136.1826,147.0956
0.0035,85.11317,81.3655,156.5228,145.6172,45.19133,156.4235,130.323,117.9953,136.1869,147.1957
0.0036,85.1105,81.36298,156.4438,145.6602,45.13922,156.4021,130.2994,117.9176,136.1913,147.2954
0.0037,85.10782,81.36046,156.3647,145.7031,45.08727,156.3806,130.2758,117.8397,136.1957,147.3949
0.0038,85.10513,81.35793,156.2856,145.7461,45.03548,156.3589,130.2523,117.7614,136.2,147.494
0.0039,85.10242,81.35539,156.2064,145.789,44.98386,156.337,130.2287,117.6829,136.2044,147.5928
0.004,85.0997,81.35285,156.1271,145.8319,44.93239,156.315,130.2052,117.6041,136.2087,147.6913
0.0041,85.09696,81.3503,156.0478,145.8748,44.88109,156.2928,130.1816,117.5251,136.213,147.7894
0.0042,85.09421,81.34774,155.9685,145.9176,44.82994,156.2704,130.158,117.4458,136.2174,147.8872
0.0043,85.09144,81.34518,155.8891,145.9605,44.77896,156.2479,130.1345,117.3662,136.2217,147.9847
0.0044,85.08866,81.34261,155.8096,146.0033,44.72815,156.2252,130.1109,117.2864,136.2259,148.0818
0.0045,85.08587,81.34003,155.73,146.0461,44.67749,156.2023,130.0874,117.2063,136.2302,148.1786
0.0046,85.08306,81.33745,155.6504,146.0889,44.627,156.1793,130.0638,117.126,136.2345,148.275
0.0047,85.08024,81.33486,155.5708,146.1316,44.57667,156.1561,130.0403,117.0454,136.2387,148.3711
0.0048,85.0774,81.33226,155.4911,146.1744,44.5265,156.1327,130.0167,116.9646,136.243,148.4668
0.0049,85.07454,81.32966,155.4113,146.2171,44.47649,156.1092,129.9932,116.8836,136.2472,148.5621
0.005,85.07168,81.32704,155.3315,146.2597,44.42665,156.0855,129.9696,116.8023,136.2514,148.657
0.0051,85.0688,81.32442,155.2516,146.3024,44.37697,156.0616,129.9461,116.7209,136.2556,148.7515
0.0052,85.0659,81.32179,155.1716,146.345,44.32746,156.0375,129.9225,116.6392,136.2598,148.8457
0.0053,85.06299,81.31916,155.0916,146.3876,44.27811,156.0133,129.899,116.5573,136.264,148.9394
0.0054,85.06007,81.31651,155.0116,146.4301,44.22893,155.9889,129.8754,116.4751,136.2682,149.0328
0.0055,85.05713,81.31386,154.9314,146.4727,44.1799,155.9644,129.8519,116.3928,136.2723,149.1257
0.0056,85.05418,81.3112,154.8512,146.5152,44.13105,155.9396,129.8284,116.3103,136.2765,149.2183
0.0057,85.05121,81.30853,154.771,146.5576,44.08236,155.9147,129.8048,116.2276,136.2806,149.3104
0.0058,85.04823,81.30585,154.6907,146.6,44.03383,155.8896,129.7813,116.1447,136.2847,149.4021
0.0059,85.04524,81.30317,154.6103,146.6424,43.98547,155.8644,129.7578,116.0616,136.2888,149.4934
0.006,85.04223,81.30047,154.5299,146.6848,43.93727,155.8389,129.7342,115.9783,136.2929,149.5842
0.0061,85.0392,81.29776,154.4494,146.7271,43.88924,155.8133,129.7107,115.8949,136.297,149.6746
0.0062,85.03617,81.29505,154.3688,146.7693,43.84138,155.7875,129.6872,115.8113,136.301,149.7646
0.0063,85.03312,81.29233,154.2882,146.8116,43.79368,155.7616,129.6636,115.7275,136.3051,149.8541
0.0064,85.03005,81.28959,154.2076,146.8538,43.74615,155.7354,129.6401,115.6436,136.3091,149.9432
0.0065,85.02697,81.28685,154.1268,146.8959,43.69878,155.7091,129.6166,115.5595,136.3132,150.0318
0.0066,85.02388,81.2841,154.046,146.938,43.65159,155.6827,129.5931,115.4753,136.3172,150.12
0.0067,85.02077,81.28133,153.9652,146.9801,43.60455,155.656,129.5695,115.3909,136.3212,150.2077
0.0068,85.01765,81.27856,153.8843,147.0221,43.55769,155.6292,129.546,115.3064,136.3251,150.2949
0.0069,85.01452,81.27577,153.8033,147.0641,43.51099,155.6022,129.5225,115.2217,136.3291,150.3817
0.007,85.01137,81.27298,153.7223,147.106,43.46447,155.575,129.499,115.1369,136.3331,150.4679
0.0071,85.00821,81.27018,153.6412,147.1479,43.41811,155.5476,129.4755,115.052,136.337,150.5537
0.0072,85.00503,81.26736,153.56,147.1897,43.37191,155.5201,129.452,114.967,136.3409,150.639
0.0073,85.00185,81.26453,153.4788,147.2315,43.32589,155.4924,129.4285,114.8818,136.3449,150.7239
0.0074,84.99864,81.2617,153.3975,147.2733,43.28003,155.4645,129.405,114.7965,136.3488,150.8082
0.0075,84.99543,81.25885,153.3162,147.315,43.23435,155.4364,129.3815,114.7112,136.3526,150.892
0.0076,84.9922,81.25599,153.2348,147.3566,43.18883,155.4081,129.358,114.6257,136.3565,150.9753
0.0077,84.98896,81.25312,153.1533,147.3982,43.14348,155.3797,129.3345,114.5401,136.3604,151.0582
0.0078,84.9857,81.25023,153.0718,147.4397,43.0983,155.3511,129.311,114.4544,136.3642,151.1405
0.0079,84.98244,81.24734,152.9902,147.4812,43.05329,155.3223,129.2875,114.3687,136.368,151.2222
0.008,84.97915,81.24443,152.9086,147.5226,43.00846,155.2934,129.264,114.2829,136.3719,151.3035
0.0081,84.97586,81.24152,152.8269,147.564,42.96379,155.2643,129.2405,114.197,136.3756,151.3842
0.0082,84.97255,81.23859,152.7451,147.6053,42.91929,155.2349,129.217,114.111,136.3794,151.4645
0.0083,84.96923,81.23564,152.6633,147.6466,42.87496,155.2055,129.1935,114.0249,136.3832,151.5441
0.0084,84.9659,81.23269,152.5814,147.6878,42.83081,155.1758,129.1701,113.9388,136.387,151.6233
0.0085,84.96256,81.22972,152.4995,147.7289,42.78682,155.1459,129.1466,113.8526,136.3907,151.7019
0.0086,84.9592,81.22674,152.4175,147.77,42.74301,155.1159,129.1231,113.7664,136.3944,151.7799
0.0087,84.95583,81.22375,152.3354,147.811,42.69937,155.0857,129.0997,113.6801,136.3981,151.8574
0.0088,84.95245,81.22074,152.2533,147.852,42.6559,155.0554,129.0762,113.5938,136.4018,151.9344
0.0089,84.94905,81.21773,152.1711,147.8929,42.6126,155.0248,129.0527,113.5075,136.4055,152.0108
0.009,84.94565,81.21469,152.0888,147.9337,42.56948,154.9941,129.0293,113.4211,136.4092,152.0866
0.0091,84.94223,81.21165,152.0065,147.9745,42.52653,154.9632,129.0058,113.3347,136.4128,152.1619
0.0092,84.9388,81.20859,151.9241,148.0152,42.48375,154.9321,128.9824,113.2482,136.4164,152.2366
0.0093,84.93536,81.20552,151.8417,148.0559,42.44115,154.9008,128.959,113.1618,136.42,152.3108
0.0094,84.9319,81.20244,151.7592,148.0965,42.39872,154.8694,128.9355,113.0753,136.4236,152.3843
0.0095,84.92844,81.19934,151.6766,148.137,42.35646,154.8378,128.9121,112.9888,136.4272,152.4573
0.0096,84.92496,81.19623,151.594,148.1775,42.31438,154.806,128.8887,112.9023,136.4308,152.5297
