 485   9
    Time           RX            RY        LHipAngles    LKneeAngles   HAT2Angles   LAnkle2Angles     WBCMY        WBCMVy    
  0.00000E+00   2.91341E+01   2.22160E+02   1.47055E+02   1.55132E+02   8.27862E+01   1.08281E+02   9.94489E-01  -7.57679E-01
  1.00000E-03  -3.62833E+00   4.90486E+02   1.47460E+02   1.54941E+02   8.27608E+01   1.07923E+02   9.93731E-01  -7.54363E-01
  2.00000E-03  -7.55880E+01   7.80457E+02   1.47865E+02   1.54736E+02   8.27347E+01   1.07524E+02   9.92976E-01  -7.49763E-01
  3.00000E-03  -1.92472E+02   1.03583E+03   1.48270E+02   1.54517E+02   8.27078E+01   1.07085E+02   9.92226E-01  -7.43835E-01
  4.00000E-03  -3.51917E+02   1.21025E+03   1.48673E+02   1.54283E+02   8.26800E+01   1.06609E+02   9.91483E-01  -7.36537E-01
  5.00000E-03  -5.42290E+02   1.29088E+03   1.49073E+02   1.54035E+02   8.26512E+01   1.06098E+02   9.90748E-01  -7.27832E-01
  6.00000E-03  -7.43597E+02   1.30976E+03   1.49470E+02   1.53770E+02   8.26213E+01   1.05554E+02   9.90022E-01  -7.17690E-01
  7.00000E-03  -9.30698E+02   1.33399E+03   1.49863E+02   1.53489E+02   8.25904E+01   1.04982E+02   9.89307E-01  -7.06086E-01
  8.00000E-03  -1.07823E+03   1.43662E+03   1.50250E+02   1.53193E+02   8.25584E+01   1.04384E+02   9.88603E-01  -6.93008E-01
  9.00000E-03  -1.16566E+03   1.66171E+03   1.50632E+02   1.52880E+02   8.25251E+01   1.03764E+02   9.87914E-01  -6.78454E-01
  1.00000E-02  -1.18084E+03   2.00132E+03   1.51007E+02   1.52551E+02   8.24907E+01   1.03125E+02   9.87240E-01  -6.62436E-01
  1.10000E-02  -1.12144E+03   2.39693E+03   1.51375E+02   1.52206E+02   8.24552E+01   1.02470E+02   9.86583E-01  -6.44980E-01
  1.20000E-02  -9.94753E+02   2.76510E+03   1.51734E+02   1.51845E+02   8.24185E+01   1.01804E+02   9.85943E-01  -6.26128E-01
  1.30000E-02  -8.16631E+02   3.03439E+03   1.52085E+02   1.51469E+02   8.23807E+01   1.01129E+02   9.85324E-01  -6.05936E-01
  1.40000E-02  -6.09572E+02   3.17539E+03   1.52428E+02   1.51077E+02   8.23419E+01   1.00448E+02   9.84725E-01  -5.84470E-01
  1.50000E-02  -3.99860E+02   3.20966E+03   1.52761E+02   1.50671E+02   8.23021E+01   9.97637E+01   9.84149E-01  -5.61810E-01
  1.60000E-02  -2.14000E+02   3.19552E+03   1.53086E+02   1.50250E+02   8.22617E+01   9.90790E+01   9.83596E-01  -5.38041E-01
  1.70000E-02  -7.52953E+01   3.19956E+03   1.53401E+02   1.49816E+02   8.22206E+01   9.83959E+01   9.83067E-01  -5.13256E-01
  1.80000E-02  -1.14003E+00   3.26817E+03   1.53709E+02   1.49370E+02   8.21790E+01   9.77165E+01   9.82564E-01  -4.87549E-01
  1.90000E-02  -9.20133E-01   3.41054E+03   1.54009E+02   1.48913E+02   8.21373E+01   9.70424E+01   9.82088E-01  -4.61017E-01
  2.00000E-02  -7.41317E+01   3.59823E+03   1.54302E+02   1.48446E+02   8.20955E+01   9.63750E+01   9.81638E-01  -4.33755E-01
  2.10000E-02  -2.08868E+02   3.77903E+03   1.54589E+02   1.47970E+02   8.20539E+01   9.57158E+01   9.81216E-01  -4.05854E-01
  2.20000E-02  -3.81599E+02   3.89862E+03   1.54871E+02   1.47487E+02   8.20128E+01   9.50656E+01   9.80823E-01  -3.77405E-01
  2.30000E-02  -5.59498E+02   3.92119E+03   1.55150E+02   1.46999E+02   8.19725E+01   9.44254E+01   9.80458E-01  -3.48495E-01
  2.40000E-02  -7.05940E+02   3.84237E+03   1.55426E+02   1.46508E+02   8.19332E+01   9.37960E+01   9.80123E-01  -3.19204E-01
  2.50000E-02  -7.88469E+02   3.69012E+03   1.55702E+02   1.46014E+02   8.18953E+01   9.31781E+01   9.79818E-01  -2.89612E-01
  2.60000E-02  -7.87160E+02   3.51410E+03   1.55979E+02   1.45521E+02   8.18590E+01   9.25722E+01   9.79542E-01  -2.59794E-01
  2.70000E-02  -7.00727E+02   3.36722E+03   1.56259E+02   1.45030E+02   8.18246E+01   9.19788E+01   9.79296E-01  -2.29823E-01
  2.80000E-02  -5.48046E+02   3.28631E+03   1.56543E+02   1.44544E+02   8.17924E+01   9.13984E+01   9.79081E-01  -1.99767E-01
  2.90000E-02  -3.64134E+02   3.27933E+03   1.56833E+02   1.44064E+02   8.17629E+01   9.08313E+01   9.78895E-01  -1.69691E-01
  3.00000E-02  -1.91341E+02   3.32389E+03   1.57131E+02   1.43593E+02   8.17361E+01   9.02780E+01   9.78740E-01  -1.39659E-01
  3.10000E-02  -6.82208E+01   3.37754E+03   1.57438E+02   1.43132E+02   8.17125E+01   8.97389E+01   9.78616E-01  -1.09731E-01
  3.20000E-02  -1.93518E+01   3.39528E+03   1.57757E+02   1.42684E+02   8.16923E+01   8.92142E+01   9.78521E-01  -7.99648E-02
  3.30000E-02  -4.91998E+01   3.34693E+03   1.58088E+02   1.42250E+02   8.16758E+01   8.87044E+01   9.78456E-01  -5.04151E-02
  3.40000E-02  -1.41885E+02   3.22738E+03   1.58434E+02   1.41832E+02   8.16632E+01   8.82097E+01   9.78420E-01  -2.11344E-02
  3.50000E-02  -2.66830E+02   3.05641E+03   1.58795E+02   1.41433E+02   8.16548E+01   8.77307E+01   9.78414E-01   7.82762E-03
  3.60000E-02  -3.88267E+02   2.86926E+03   1.59173E+02   1.41052E+02   8.16506E+01   8.72677E+01   9.78437E-01   3.64243E-02
  3.70000E-02  -4.75345E+02   2.70285E+03   1.59570E+02   1.40692E+02   8.16510E+01   8.68212E+01   9.78488E-01   6.46127E-02
  3.80000E-02  -5.09564E+02   2.58347E+03   1.59985E+02   1.40355E+02   8.16561E+01   8.63916E+01   9.78567E-01   9.23536E-02
  3.90000E-02  -4.87518E+02   2.52018E+03   1.60419E+02   1.40040E+02   8.16659E+01   8.59795E+01   9.78674E-01   1.19613E-01
  4.00000E-02  -4.18803E+02   2.50503E+03   1.60874E+02   1.39749E+02   8.16807E+01   8.55856E+01   9.78808E-01   1.46361E-01
  4.10000E-02  -3.20647E+02   2.51863E+03   1.61349E+02   1.39483E+02   8.17004E+01   8.52104E+01   9.78969E-01   1.72576E-01
  4.20000E-02  -2.11599E+02   2.53817E+03   1.61846E+02   1.39242E+02   8.17252E+01   8.48546E+01   9.79156E-01   1.98241E-01
  4.30000E-02  -1.06488E+02   2.54483E+03   1.62363E+02   1.39027E+02   8.17551E+01   8.45191E+01   9.79368E-01   2.23343E-01
  4.40000E-02  -1.40663E+01   2.52884E+03   1.62902E+02   1.38839E+02   8.17901E+01   8.42047E+01   9.79604E-01   2.47877E-01
  4.50000E-02   6.24131E+01   2.49136E+03   1.63462E+02   1.38677E+02   8.18302E+01   8.39124E+01   9.79866E-01   2.71841E-01
  4.60000E-02   1.22621E+02   2.44293E+03   1.64043E+02   1.38543E+02   8.18753E+01   8.36431E+01   9.80150E-01   2.95236E-01
  4.70000E-02   1.66237E+02   2.39909E+03   1.64645E+02   1.38436E+02   8.19255E+01   8.33980E+01   9.80458E-01   3.18064E-01
  4.80000E-02   1.91315E+02   2.37429E+03   1.65267E+02   1.38356E+02   8.19806E+01   8.31783E+01   9.80789E-01   3.40329E-01
  4.90000E-02   1.94776E+02   2.37619E+03   1.65910E+02   1.38305E+02   8.20406E+01   8.29853E+01   9.81141E-01   3.62032E-01
  5.00000E-02   1.74693E+02   2.40247E+03   1.66572E+02   1.38281E+02   8.21053E+01   8.28203E+01   9.81515E-01   3.83173E-01
  5.10000E-02   1.33113E+02   2.44179E+03   1.67253E+02   1.38286E+02   8.21748E+01   8.26848E+01   9.81910E-01   4.03750E-01
  5.20000E-02   7.78945E+01   2.47873E+03   1.67952E+02   1.38319E+02   8.22487E+01   8.25802E+01   9.82325E-01   4.23759E-01
  5.30000E-02   2.24474E+01   2.50072E+03   1.68670E+02   1.38381E+02   8.23271E+01   8.25082E+01   9.82760E-01   4.43192E-01
  5.40000E-02  -1.70020E+01   2.50371E+03   1.69404E+02   1.38472E+02   8.24097E+01   8.24704E+01   9.83214E-01   4.62040E-01
  5.50000E-02  -2.59462E+01   2.49359E+03   1.70156E+02   1.38592E+02   8.24964E+01   8.24684E+01   9.83686E-01   4.80294E-01
  5.60000E-02   3.60541E+00   2.48265E+03   1.70923E+02   1.38741E+02   8.25870E+01   8.25039E+01   9.84177E-01   4.97943E-01
  5.70000E-02   6.99547E+01   2.48269E+03   1.71705E+02   1.38920E+02   8.26814E+01   8.25786E+01   9.84685E-01   5.14975E-01
  5.80000E-02   1.61589E+02   2.49830E+03   1.72502E+02   1.39128E+02   8.27792E+01   8.26943E+01   9.85210E-01   5.31377E-01
  5.90000E-02   2.60348E+02   2.52377E+03   1.73313E+02   1.39366E+02   8.28804E+01   8.28526E+01   9.85750E-01   5.47138E-01
  6.00000E-02   3.46765E+02   2.54511E+03   1.74136E+02   1.39633E+02   8.29848E+01   8.30551E+01   9.86306E-01   5.62245E-01
  6.10000E-02   4.05604E+02   2.54620E+03   1.74971E+02   1.39930E+02   8.30919E+01   8.33035E+01   9.86877E-01   5.76683E-01
  6.20000E-02   4.29770E+02   2.51592E+03   1.75817E+02   1.40257E+02   8.32018E+01   8.35992E+01   9.87463E-01   5.90437E-01
  6.30000E-02   4.21518E+02   2.45310E+03   1.76673E+02   1.40612E+02   8.33140E+01   8.39437E+01   9.88061E-01   6.03492E-01
  6.40000E-02   3.90904E+02   2.36687E+03   1.77539E+02   1.40997E+02   8.34283E+01   8.43383E+01   9.88672E-01   6.15830E-01
