485,8,,,,,,
Time,HAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0,82.75802,160.5585,145.417,47.11487,157.0739,118.64,108.374
0.001,82.73326,159.7854,145.8465,46.54572,156.9066,118.4228,108.022
0.002,82.70778,159.006,146.2764,45.99213,156.7249,118.2055,107.6279
0.003,82.68151,158.2204,146.7056,45.45428,156.5279,117.9879,107.1932
0.004,82.65437,157.4287,147.1334,44.93239,156.315,117.7701,106.7198
0.005,82.62628,156.6307,147.559,44.42665,156.0855,117.5519,106.2105
0.006,82.59718,155.8266,147.9815,43.93727,155.8389,117.3334,105.6679
0.007,82.567,155.0163,148.4,43.46447,155.575,117.1145,105.0954
0.008,82.5357,154.1999,148.8139,43.00846,155.2934,116.8953,104.4961
0.009,82.50324,153.3774,149.2223,42.56948,154.9941,116.6759,103.8734
0.01,82.46963,152.5489,149.6246,42.14779,154.6771,116.4562,103.2307
0.011,82.43485,151.7145,150.0202,41.74366,154.3425,116.2365,102.5714
0.012,82.39895,150.8745,150.4086,41.35737,153.9907,116.0167,101.8989
0.013,82.36197,150.029,150.7895,40.98925,153.6222,115.7971,101.2163
0.014,82.324,149.1782,151.1627,40.6396,153.2375,115.5778,100.5268
0.015,82.28514,148.3226,151.5283,40.30879,152.8376,115.3589,99.83323
0.016,82.24552,147.4624,151.8863,39.99717,152.4232,115.1407,99.13831
0.017,82.20531,146.5982,152.2371,39.70512,151.9956,114.9232,98.44445
0.018,82.16467,145.7302,152.5813,39.43301,151.5561,114.7066,97.75385
0.019,82.12382,144.8592,152.9196,39.18123,151.1062,114.4913,97.06847
0.02,82.08298,143.9855,153.2529,38.95018,150.6475,114.2773,96.39005
0.021,82.04238,143.1098,153.5822,38.74025,150.1817,114.065,95.72011
0.022,82.0023,142.2328,153.9088,38.55183,149.7109,113.8544,95.06
0.023,81.96299,141.3551,154.2341,38.38531,149.2369,113.646,94.41091
0.024,81.92475,140.4773,154.5596,38.24105,148.7619,113.4398,93.77388
0.025,81.88788,139.6003,154.8868,38.11941,148.2879,113.2362,93.1498
0.026,81.85267,138.7248,155.2174,38.02073,147.8173,113.0354,92.53946
0.027,81.81943,137.8514,155.5531,37.94532,147.3521,112.8375,91.94353
0.028,81.78846,136.9811,155.8957,37.89345,146.8946,112.6428,91.3626
0.029,81.76007,136.1144,156.247,37.86536,146.4468,112.4514,90.79714
0.03,81.73454,135.2523,156.6086,37.86124,146.0109,112.2635,90.24756
0.031,81.71216,134.3954,156.9822,37.88124,145.5887,112.0793,89.71422
0.032,81.69319,133.5444,157.3695,37.92545,145.1823,111.8988,89.1974
0.033,81.67789,132.7001,157.772,37.99391,144.7932,111.7222,88.69734
0.034,81.66649,131.8632,158.1909,38.08661,144.4231,111.5494,88.21426
0.035,81.65921,131.0343,158.6275,38.20346,144.0733,111.3804,87.74834
0.036,81.65623,130.2141,159.0829,38.34434,143.745,111.2151,87.29977
0.037,81.65771,129.4031,159.558,38.50903,143.4392,111.0535,86.86873
0.038,81.6638,128.602,160.0533,38.69728,143.1566,110.8955,86.45541
0.039,81.67462,127.8112,160.5693,38.90879,142.8979,110.7408,86.06004
0.04,81.69027,127.0314,161.1065,39.14317,142.6635,110.5892,85.68287
0.041,81.71081,126.2631,161.6648,39.40002,142.4536,110.4404,85.32421
0.042,81.7363,125.5067,162.2443,39.67885,142.2684,110.2943,84.98443
0.043,81.76678,124.7627,162.8447,39.97917,142.1078,110.1504,84.66396
0.044,81.80223,124.0315,163.4658,40.30042,141.9717,110.0085,84.36332
0.045,81.84267,123.3136,164.107,40.64202,141.86,109.8682,84.08312
0.046,81.88806,122.6093,164.7677,41.00338,141.7725,109.7292,83.82405
0.047,81.93835,121.919,165.4473,41.38386,141.7087,109.5911,83.58691
0.048,81.99348,121.2431,166.1449,41.78283,141.6686,109.4536,83.3726
0.049,82.05338,120.5818,166.8599,42.19965,141.6518,109.3165,83.18213
0.05,82.11795,119.9356,167.5912,42.63366,141.6581,109.1793,83.0166
0.051,82.18709,119.3047,168.338,43.08421,141.6873,109.0418,82.87724
0.052,82.26069,118.6893,169.0994,43.55067,141.7392,108.9039,82.76537
0.053,82.33863,118.0898,169.8745,44.03242,141.8138,108.7652,82.6824
0.054,82.42076,117.5062,170.6623,44.52884,141.9111,108.6258,82.62984
0.055,82.50694,116.9389,171.4618,45.03935,142.0309,108.4856,82.60928
0.056,82.59701,116.3878,172.2723,45.56339,142.1735,108.3446,82.62239
0.057,82.69081,115.8532,173.0928,46.10043,142.3388,108.2029,82.67087
0.058,82.78814,115.3351,173.9224,46.64994,142.527,108.0607,82.75652
0.059,82.88882,114.8334,174.7602,47.21142,142.7382,107.9182,82.88115
0.06,82.99264,114.3481,175.6055,47.78442,142.9725,107.7756,83.0466
0.061,83.09938,113.879,176.4573,48.36847,143.2302,107.6332,83.25473
0.062,83.20881,113.4261,177.3148,48.96315,143.5111,107.4914,83.50742
0.063,83.32068,112.989,178.1772,49.56805,143.8154,107.3506,83.8065
0.064,83.43476,112.5676,179.0438,50.1828,144.1431,107.2111,84.1538
0.065,83.55076,112.1614,179.9136,50.80703,144.494,107.0735,84.55111
0.066,83.66843,111.7701,180.7859,51.44042,144.8678,106.9381,85.00013
0.067,83.78749,111.3934,181.66,52.08267,145.2643,106.8055,85.5025
0.068,83.90764,111.0307,182.5348,52.73347,145.683,106.6762,86.05974
0.069,84.02859,110.6816,183.4098,53.39257,146.1232,106.5505,86.67326
0.07,84.15006,110.3456,184.2839,54.05969,146.5841,106.4289,87.34432
0.071,84.27173,110.0221,185.1563,54.7346,147.0649,106.3118,88.07402
0.072,84.39329,109.7107,186.0261,55.41707,147.5644,106.1996,88.86325
0.073,84.51444,109.4108,186.8925,56.10687,148.0812,106.0925,89.71272
0.074,84.63484,109.1217,187.7543,56.80379,148.614,105.991,90.62289
0.075,84.7542,108.843,188.6107,57.50764,149.1611,105.8952,91.59394
0.076,84.87218,108.5741,189.4606,58.21823,149.7207,105.8055,92.62576
0.077,84.98846,108.3143,190.303,58.93538,150.2911,105.722,93.71791
0.078,85.10272,108.0631,191.1368,59.65893,150.87,105.6448,94.86956
0.079,85.21466,107.82,191.961,60.3887,151.4554,105.5741,96.07946
0.08,85.32396,107.5844,192.7744,61.12456,152.045,105.5099,97.34591
0.081,85.43033,107.3558,193.5761,61.86637,152.6365,105.4522,98.66668
0.082,85.53349,107.1338,194.3649,62.61398,153.2276,105.4009,100.039
0.083,85.63317,106.9178,195.1399,63.36729,153.8159,105.3558,101.4596
0.084,85.72913,106.7077,195.9001,64.12619,154.3989,105.3168,102.9245
0.085,85.82113,106.5029,196.6444,64.89061,154.9742,105.2836,104.4292
0.086,85.90898,106.3032,197.3721,65.66048,155.5394,105.2559,105.9685
0.087,85.99249,106.1084,198.0822,66.43576,156.0923,105.2334,107.5369
0.088,86.07151,105.9183,198.774,67.21644,156.6304,105.2158,109.128
0.089,86.14592,105.7329,199.4467,68.00253,157.1517,105.2026,110.7352
0.09,86.21561,105.552,200.0998,68.79404,157.6538,105.1934,112.3515
0.091,86.28051,105.3756,200.7326,69.59104,158.1348,105.1877,113.9694
0.092,86.34059,105.2039,201.3447,70.39362,158.5928,105.1851,115.5815
0.093,86.39581,105.0368,201.9357,71.20186,159.0257,105.185,117.1803
0.094,86.4462,104.8746,202.5052,72.0159,159.432,105.1869,118.7581
0.095,86.49178,104.7175,203.0529,72.8359,159.8099,105.1903,120.3077
0.096,86.53261,104.5658,203.5786,73.66204,160.1579,105.1949,121.822
0.097,86.56877,104.4196,204.0822,74.49451,160.4745,105.2,123.2943
0.098,86.60036,104.2794,204.5636,75.33354,160.7583,105.2053,124.7185
0.099,86.62749,104.1456,205.0226,76.17938,161.0081,105.2104,126.089
0.1,86.6503,104.0184,205.4594,77.03229,161.2227,105.2148,127.4008
0.101,86.66893,103.8984,205.8738,77.89254,161.401,105.2183,128.6495
0.102,86.68353,103.786,206.2661,78.76043,161.5421,105.2205,129.8314
0.103,86.69428,103.6817,206.6363,79.63626,161.6452,105.2212,130.9437
0.104,86.70134,103.586,206.9845,80.52034,161.7093,105.2201,131.9842
0.105,86.70489,103.4993,207.3109,81.41299,161.7339,105.2172,132.9516
0.106,86.7051,103.4222,207.6157,82.31453,161.7185,105.2122,133.8452
0.107,86.70216,103.3552,207.8991,83.22526,161.6625,105.2052,134.6652
0.108,86.69624,103.2987,208.1612,84.14551,161.5658,105.196,135.4124
0.109,86.68752,103.2532,208.4024,85.07557,161.4282,105.1847,136.0883
0.11,86.67615,103.2192,208.6228,86.01572,161.2496,105.1713,136.6946
0.111,86.6623,103.1972,208.8227,86.96623,161.0301,105.1559,137.2339
0.112,86.64613,103.1875,209.0024,87.92734,160.77,105.1386,137.709
0.113,86.62777,103.1905,209.1622,88.89926,160.4697,105.1195,138.1228
0.114,86.60736,103.2066,209.3024,89.88216,160.1296,105.0986,138.4788
0.115,86.58504,103.236,209.4233,90.8762,159.7504,105.0762,138.7802
0.116,86.56092,103.2791,209.5253,91.88148,159.3328,105.0524,139.0308
0.117,86.53513,103.336,209.6087,92.89806,158.8776,105.0272,139.2342
0.118,86.50776,103.4069,209.6739,93.92597,158.3859,105.0009,139.3938
0.119,86.47893,103.492,209.7213,94.96518,157.8586,104.9735,139.5135
0.12,86.44873,103.5913,209.7514,96.01562,157.2969,104.9451,139.5969
0.121,86.41724,103.7049,209.7646,97.07717,156.702,104.916,139.6476
0.122,86.38456,103.8328,209.7613,98.14966,156.0751,104.8861,139.6691
0.123,86.35078,103.9749,209.7421,99.23286,155.4175,104.8555,139.6651
0.124,86.31596,104.1312,209.7075,100.3265,154.7307,104.8244,139.639
0.125,86.2802,104.3015,209.6579,101.4302,154.016,104.7926,139.5943
0.126,86.24355,104.4857,209.594,102.5436,153.2749,104.7603,139.5343
0.127,86.20611,104.6835,209.5163,103.6662,152.5088,104.7275,139.4621
0.128,86.16793,104.8947,209.4253,104.7976,151.7191,104.694,139.3807
0.129,86.12909,105.1191,209.3216,105.9372,150.9074,104.6599,139.2929
0.13,86.08966,105.3564,209.2058,107.0843,150.075,104.6251,139.2012
0.131,86.04971,105.6061,209.0784,108.2383,149.2234,104.5896,139.108
0.132,86.00931,105.868,208.9401,109.3984,148.3539,104.5531,139.0152
0.133,85.96854,106.1416,208.7914,110.564,147.468,104.5156,138.9248
0.134,85.92745,106.4265,208.6329,111.7342,146.5669,104.4771,138.8381
0.135,85.88613,106.7224,208.4652,112.9082,145.6519,104.4373,138.7565
0.136,85.84465,107.0286,208.2888,114.0851,144.7243,104.3963,138.6809
0.137,85.80308,107.3449,208.1043,115.2641,143.7853,104.3538,138.6122
0.138,85.7615,107.6705,207.9123,116.4441,142.836,104.3099,138.5507
0.139,85.71998,108.0052,207.7132,117.6243,141.8774,104.2645,138.4968
0.14,85.6786,108.3483,207.5077,118.8038,140.9107,104.2176,138.4505
0.141,85.63743,108.6993,207.2962,119.9816,139.9367,104.1692,138.4118
0.142,85.59654,109.0578,207.0792,121.1568,138.9563,104.1193,138.3802
0.143,85.556,109.4233,206.8572,122.3285,137.9705,104.068,138.3554
0.144,85.5159,109.7953,206.6306,123.4958,136.98,104.0155,138.3367
0.145,85.47629,110.1732,206.3998,124.6579,135.9855,103.9619,138.3234
0.146,85.43725,110.5567,206.1653,125.8138,134.9877,103.9075,138.3147
0.147,85.39886,110.9454,205.9274,126.9627,133.9873,103.8525,138.3096
0.148,85.36117,111.3387,205.6864,128.1039,132.9847,103.7972,138.3072
0.149,85.32425,111.7364,205.4427,129.2365,131.9806,103.742,138.3065
0.15,85.28816,112.138,205.1965,130.3598,130.9753,103.6872,138.3065
0.151,85.25298,112.5431,204.9482,131.4731,129.9694,103.6333,138.3062
0.152,85.21874,112.9515,204.6979,132.5756,128.9632,103.5808,138.3045
0.153,85.18551,113.3629,204.4459,133.6667,127.9571,103.5301,138.3004
0.154,85.15333,113.7768,204.1923,134.7457,126.9513,103.4817,138.2932
0.155,85.12224,114.1932,203.9374,135.812,125.9462,103.4363,138.2817
0.156,85.09229,114.6116,203.6811,136.8649,124.942,103.3943,138.2654
0.157,85.06351,115.0319,203.4236,137.9038,123.9389,103.3562,138.2433
0.158,85.0359,115.4538,203.165,138.9281,122.9371,103.3226,138.2149
0.159,85.0095,115.877,202.9053,139.9372,121.9367,103.2941,138.1795
0.16,84.9843,116.3014,202.6445,140.9306,120.938,103.2709,138.1366
0.161,84.96031,116.7268,202.3826,141.9076,119.941,103.2537,138.0858
0.162,84.93752,117.1528,202.1195,142.8675,118.9457,103.2427,138.0267
0.163,84.91591,117.5792,201.8552,143.81,117.9524,103.2383,137.9589
0.164,84.89545,118.0059,201.5896,144.7342,116.9611,103.2408,137.8824
0.165,84.87612,118.4326,201.3226,145.6398,115.9717,103.2502,137.7969
0.166,84.85787,118.8591,201.054,146.5259,114.9844,103.2668,137.7024
0.167,84.84067,119.2851,200.7837,147.3921,113.9992,103.2906,137.5989
0.168,84.82446,119.7104,200.5116,148.2378,113.0161,103.3214,137.4865
0.169,84.80919,120.1346,200.2374,149.0623,112.0351,103.3592,137.3652
0.17,84.79479,120.5576,199.9609,149.865,111.0562,103.4037,137.2353
0.171,84.78119,120.9791,199.682,150.6454,110.0794,103.4546,137.097
0.172,84.76834,121.3987,199.4003,151.4028,109.1046,103.5116,136.9505
0.173,84.75614,121.8163,199.1158,152.1368,108.132,103.5743,136.7961
0.174,84.74453,122.2314,198.8281,152.8466,107.1614,103.6422,136.6342
0.175,84.73342,122.6439,198.537,153.5319,106.1928,103.7147,136.4651
0.176,84.72273,123.0533,198.2422,154.192,105.2262,103.7914,136.289
0.177,84.71238,123.4594,197.9436,154.8264,104.2616,103.8717,136.1065
0.178,84.70229,123.8619,197.6408,155.4346,103.299,103.9551,135.9179
0.179,84.69236,124.2605,197.3336,156.0163,102.3384,104.0411,135.7234
0.18,84.68252,124.6549,197.0217,156.5709,101.3797,104.1291,135.5236
0.181,84.67269,125.0448,196.705,157.0981,100.4229,104.2187,135.3187
0.182,84.66279,125.43,196.3833,157.5976,99.46812,104.3094,135.1091
0.183,84.65275,125.8101,196.0561,158.0689,98.51523,104.4009,134.8952
0.184,84.64248,126.185,195.7235,158.512,97.56428,104.4928,134.6772
0.185,84.63194,126.5545,195.3851,158.9266,96.61529,104.5849,134.4555
0.186,84.62104,126.9183,195.0408,159.3126,95.66828,104.6768,134.2303
0.187,84.60974,127.2762,194.6904,159.6698,94.72327,104.7685,134.0019
0.188,84.59797,127.6282,194.3337,159.9983,93.78029,104.8598,133.7705
0.189,84.58569,127.974,193.9705,160.2981,92.83941,104.9506,133.5364
0.19,84.57285,128.3136,193.6007,160.5692,91.90066,105.0408,133.2997
0.191,84.55942,128.647,193.2243,160.8119,90.96412,105.1305,133.0606
0.192,84.54534,128.9739,192.8409,161.0263,90.02985,105.2195,132.8192
0.193,84.5306,129.2946,192.4506,161.2127,89.09794,105.308,132.5757
0.194,84.51516,129.6089,192.0532,161.3715,88.16851,105.396,132.3302
0.195,84.499,129.9169,191.6486,161.503,87.24165,105.4835,132.0827
0.196,84.48212,130.2188,191.2368,161.6078,86.31751,105.5706,131.8334
0.197,84.46449,130.5145,190.8176,161.6863,85.39623,105.6574,131.5823
0.198,84.44611,130.8044,190.3912,161.7393,84.47797,105.744,131.3294
0.199,84.42699,131.0885,189.9573,161.7673,83.5629,105.8305,131.0748
0.2,84.40712,131.3672,189.516,161.7711,82.65122,105.917,130.8184
0.201,84.38653,131.6407,189.0673,161.7516,81.74313,106.0037,130.5604
0.202,84.36522,131.9094,188.6112,161.7096,80.83886,106.0906,130.3008
0.203,84.34321,132.1735,188.1477,161.6461,79.93864,106.178,130.0395
0.204,84.32054,132.4335,187.6768,161.5622,79.04273,106.266,129.7766
0.205,84.29723,132.6898,187.1986,161.459,78.15138,106.3549,129.5121
0.206,84.27332,132.9428,186.713,161.3376,77.26488,106.4447,129.2461
0.207,84.24885,133.1932,186.2202,161.1993,76.3835,106.5357,128.9785
0.208,84.22386,133.4415,185.7202,161.0453,75.50753,106.6282,128.7095
0.209,84.1984,133.6881,185.213,160.877,74.63729,106.7223,128.4392
0.21,84.17252,133.9338,184.6988,160.6959,73.77308,106.8182,128.1674
0.211,84.14627,134.1792,184.1776,160.5032,72.91521,106.916,127.8945
0.212,84.11971,134.4249,183.6495,160.3005,72.06401,107.016,127.6204
0.213,84.0929,134.6716,183.1145,160.0892,71.2198,107.1182,127.3453
0.214,84.06587,134.92,182.5728,159.8709,70.3829,107.2226,127.0692
0.215,84.0387,135.1708,182.0245,159.6469,69.55366,107.3292,126.7923
0.216,84.01142,135.4247,181.4696,159.4188,68.7324,107.4378,126.5148
0.217,83.98408,135.6823,180.9082,159.1879,67.91944,107.5482,126.2367
0.218,83.95673,135.9443,180.3403,158.9557,67.11512,107.6599,125.9582
0.219,83.9294,136.2114,179.7661,158.7234,66.31975,107.7725,125.6795
0.22,83.90212,136.4842,179.1855,158.4923,65.53365,107.8853,125.4008
0.221,83.87492,136.7632,178.5986,158.2636,64.75715,107.9974,125.1221
0.222,83.8478,137.0491,178.0054,158.0382,63.99053,108.108,124.8438
0.223,83.82079,137.3422,177.406,157.8172,63.23412,108.2157,124.5659
0.224,83.79386,137.6431,176.8004,157.6013,62.4882,108.3193,124.2887
0.225,83.76702,137.9521,176.1884,157.3912,61.75306,108.4172,124.0124
0.226,83.74022,138.2693,175.5702,157.1874,61.02897,108.5078,123.737
0.227,83.71343,138.5952,174.9456,156.9901,60.31621,108.5891,123.4628
0.228,83.68661,138.9296,174.3145,156.7997,59.61502,108.6592,123.1899
0.229,83.65968,139.2727,173.6768,156.616,58.92565,108.716,122.9185
0.23,83.63257,139.6244,173.0325,156.4389,58.24834,108.757,122.6487
0.231,83.60521,139.9845,172.3814,156.268,57.58333,108.7801,122.3807
0.232,83.57749,140.3528,171.7233,156.1028,56.93082,108.7827,122.1145
0.233,83.5493,140.7288,171.058,155.9427,56.29104,108.7624,121.8504
0.234,83.52053,141.1121,170.3854,155.7866,55.66417,108.7168,121.5883
0.235,83.49106,141.5022,169.7052,155.6338,55.05042,108.6436,121.3285
0.236,83.46073,141.8983,169.0172,155.4831,54.44995,108.5406,121.0709
0.237,83.42941,142.2997,168.3212,155.3333,53.86296,108.4061,120.8155
0.238,83.39693,142.7056,167.6168,155.1833,53.2896,108.2386,120.5625
0.239,83.36315,143.1151,166.9038,155.0317,52.73005,108.0372,120.3119
0.24,83.32789,143.5273,166.1819,154.8774,52.18446,107.8015,120.0636
0.241,83.29098,143.9411,165.4509,154.719,51.65301,107.5316,119.8177
0.242,83.25228,144.3555,164.7104,154.5554,51.13587,107.2283,119.5742
0.243,83.21162,144.7695,163.9602,154.3854,50.63322,106.8927,119.333
0.244,83.16885,145.1819,163.2001,154.2078,50.14525,106.5261,119.0941
0.245,83.12384,145.5917,162.4298,154.0217,49.67215,106.1305,118.8575
0.246,83.07647,145.9979,161.6492,153.826,49.21415,105.7077,118.6231
0.247,83.02663,146.3994,160.8582,153.6198,48.77146,105.2601,118.391
0.248,82.97424,146.7954,160.0566,153.4022,48.34435,104.7898,118.1611
0.249,82.91925,147.1848,159.2444,153.1726,47.93309,104.2994,117.9334
